date,PHM,PHM_EPS,PE Ratio
1989-09-19,2.05,,
1989-09-20,2.06,,
1989-09-21,2.08,,
1989-09-22,2.11,,
1989-09-25,2.11,,
1989-09-26,2.14,,
1989-09-27,2.22,,
1989-09-28,2.17,,
1989-09-29,2.17,,
1989-10-02,2.17,,
1989-10-03,2.2,,
1989-10-04,2.31,,
1989-10-05,2.27,,
1989-10-06,2.25,,
1989-10-09,2.27,,
1989-10-10,2.27,,
1989-10-11,2.27,,
1989-10-12,2.25,,
1989-10-13,1.86,,
1989-10-16,1.98,,
1989-10-17,2.03,,
1989-10-18,2.02,,
1989-10-19,2.05,,
1989-10-20,2.06,,
1989-10-23,2.09,,
1989-10-24,2.05,,
1989-10-25,2.02,,
1989-10-26,1.97,,
1989-10-27,1.94,,
1989-10-30,1.94,,
1989-10-31,1.97,,
1989-11-01,1.97,,
1989-11-02,1.88,,
1989-11-03,1.89,,
1989-11-06,1.81,,
1989-11-07,1.83,,
1989-11-08,1.86,,
1989-11-09,1.8,,
1989-11-10,1.8,,
1989-11-13,1.83,,
1989-11-14,1.78,,
1989-11-15,1.77,,
1989-11-16,1.81,,
1989-11-17,1.83,,
1989-11-20,1.75,,
1989-11-21,1.69,,
1989-11-22,1.72,,
1989-11-24,1.72,,
1989-11-27,1.72,,
1989-11-28,1.69,,
1989-11-29,1.67,,
1989-11-30,1.55,,
1989-12-01,1.56,,
1989-12-04,1.48,,
1989-12-05,1.41,,
1989-12-06,1.38,,
1989-12-07,1.38,,
1989-12-08,1.38,,
1989-12-11,1.34,,
1989-12-12,1.41,,
1989-12-13,1.31,,
1989-12-14,1.25,,
1989-12-15,1.19,,
1989-12-18,1.23,,
1989-12-19,1.25,,
1989-12-20,1.3,,
1989-12-21,1.34,,
1989-12-22,1.33,,
1989-12-26,1.31,,
1989-12-27,1.36,,
1989-12-28,1.31,,
1989-12-29,1.39,,
1990-01-02,1.5,,
1990-01-03,1.52,,
1990-01-04,1.48,,
1990-01-05,1.42,,
1990-01-08,1.38,,
1990-01-09,1.34,,
1990-01-10,1.33,,
1990-01-11,1.33,,
1990-01-12,1.23,,
1990-01-15,1.19,,
1990-01-16,1.27,,
1990-01-17,1.22,,
1990-01-18,1.22,,
1990-01-19,1.13,,
1990-01-22,1.0,,
1990-01-23,1.02,,
1990-01-24,0.98,,
1990-01-25,0.94,,
1990-01-26,0.98,,
1990-01-29,0.97,,
1990-01-30,0.95,,
1990-01-31,0.98,,
1990-02-01,1.0,,
1990-02-02,1.08,,
1990-02-05,1.09,,
1990-02-06,1.08,,
1990-02-07,1.09,,
1990-02-08,1.08,,
1990-02-09,1.06,,
1990-02-12,1.03,,
1990-02-13,1.0,,
1990-02-14,0.98,,
1990-02-15,0.97,,
1990-02-16,0.95,,
1990-02-20,0.94,,
1990-02-21,0.95,,
1990-02-22,0.95,,
1990-02-23,0.95,,
1990-02-26,1.03,,
1990-02-27,1.02,,
1990-02-28,1.06,,
1990-03-01,1.0,,
1990-03-02,1.02,,
1990-03-05,0.97,,
1990-03-06,1.0,,
1990-03-07,0.97,,
1990-03-08,0.98,,
1990-03-09,0.97,,
1990-03-12,0.97,,
1990-03-13,0.98,,
1990-03-14,0.97,,
1990-03-15,0.97,,
1990-03-16,1.0,,
1990-03-19,1.02,,
1990-03-20,1.06,,
1990-03-21,1.05,,
1990-03-22,1.08,,
1990-03-23,1.08,,
1990-03-26,1.09,,
1990-03-27,1.13,,
1990-03-28,1.19,,
1990-03-29,1.17,,
1990-03-30,1.17,,
1990-04-02,1.19,,
1990-04-03,1.22,,
1990-04-04,1.22,,
1990-04-05,1.25,,
1990-04-06,1.25,,
1990-04-09,1.17,,
1990-04-10,1.17,,
1990-04-11,1.16,,
1990-04-12,1.16,,
1990-04-16,1.14,,
1990-04-17,1.19,,
1990-04-18,1.16,,
1990-04-19,1.17,,
1990-04-20,1.16,,
1990-04-23,1.14,,
1990-04-24,1.14,,
1990-04-25,1.14,,
1990-04-26,1.13,,
1990-04-27,1.13,,
1990-04-30,1.11,,
1990-05-01,1.06,,
1990-05-02,1.03,,
1990-05-03,1.06,,
1990-05-04,1.08,,
1990-05-07,1.08,,
1990-05-08,1.06,,
1990-05-09,1.06,,
1990-05-10,1.08,,
1990-05-11,1.11,,
1990-05-14,1.16,,
1990-05-15,1.14,,
1990-05-16,1.13,,
1990-05-17,1.14,,
1990-05-18,1.11,,
1990-05-21,1.13,,
1990-05-22,1.11,,
1990-05-23,1.06,,
1990-05-24,1.08,,
1990-05-25,1.06,,
1990-05-29,1.08,,
1990-05-30,1.08,,
1990-05-31,1.09,,
1990-06-01,1.08,,
1990-06-04,1.09,,
1990-06-05,1.09,,
1990-06-06,1.11,,
1990-06-07,1.11,,
1990-06-08,1.08,,
1990-06-11,1.14,,
1990-06-12,1.13,,
1990-06-13,1.11,,
1990-06-14,1.13,,
1990-06-15,1.03,,
1990-06-18,1.08,,
1990-06-19,1.11,,
1990-06-20,1.11,,
1990-06-21,1.09,,
1990-06-22,1.08,,
1990-06-25,1.06,,
1990-06-26,1.06,,
1990-06-27,1.06,,
1990-06-28,1.08,,
1990-06-29,1.13,,
1990-07-02,1.11,,
1990-07-03,1.13,,
1990-07-05,1.08,,
1990-07-06,1.09,,
1990-07-09,1.09,,
1990-07-10,1.08,,
1990-07-11,1.11,,
1990-07-12,1.11,,
1990-07-13,1.14,,
1990-07-16,1.11,,
1990-07-17,1.13,,
1990-07-18,1.13,,
1990-07-19,1.11,,
1990-07-20,1.11,,
1990-07-23,1.13,,
1990-07-24,1.13,,
1990-07-25,1.11,,
1990-07-26,1.13,,
1990-07-27,1.13,,
1990-07-30,1.13,,
1990-07-31,1.09,,
1990-08-01,1.08,,
1990-08-02,1.06,,
1990-08-03,1.03,,
1990-08-06,1.0,,
1990-08-07,0.94,,
1990-08-08,0.98,,
1990-08-09,0.97,,
1990-08-10,0.95,,
1990-08-13,0.94,,
1990-08-14,0.94,,
1990-08-15,0.91,,
1990-08-16,0.86,,
1990-08-17,0.84,,
1990-08-20,0.84,,
1990-08-21,0.83,,
1990-08-22,0.83,,
1990-08-23,0.81,,
1990-08-24,0.84,,
1990-08-27,0.92,,
1990-08-28,0.91,,
1990-08-29,0.92,,
1990-08-30,0.92,,
1990-08-31,0.95,,
1990-09-04,0.94,,
1990-09-05,0.91,,
1990-09-06,0.89,,
1990-09-07,0.91,,
1990-09-10,0.88,,
1990-09-11,0.89,,
1990-09-12,0.91,,
1990-09-13,0.91,,
1990-09-14,0.89,,
1990-09-17,0.92,,
1990-09-18,0.94,,
1990-09-19,0.92,,
1990-09-20,0.92,,
1990-09-21,0.92,,
1990-09-24,0.89,,
1990-09-25,0.88,,
1990-09-26,0.86,,
1990-09-27,0.86,,
1990-09-28,0.88,,
1990-10-01,0.88,,
1990-10-02,0.86,,
1990-10-03,0.86,,
1990-10-04,0.86,,
1990-10-05,0.86,,
1990-10-08,0.89,,
1990-10-09,0.83,,
1990-10-10,0.8,,
1990-10-11,0.78,,
1990-10-12,0.81,,
1990-10-15,0.88,,
1990-10-16,0.83,,
1990-10-17,0.83,,
1990-10-18,0.86,,
1990-10-19,0.91,,
1990-10-22,0.89,,
1990-10-23,0.88,,
1990-10-24,0.88,,
1990-10-25,0.88,,
1990-10-26,0.86,,
1990-10-29,0.88,,
1990-10-30,0.86,,
1990-10-31,0.88,,
1990-11-01,0.88,,
1990-11-02,0.86,,
1990-11-05,0.88,,
1990-11-06,0.86,,
1990-11-07,0.86,,
1990-11-08,0.86,,
1990-11-09,0.89,,
1990-11-12,0.92,,
1990-11-13,0.95,,
1990-11-14,0.98,,
1990-11-15,0.97,,
1990-11-16,0.95,,
1990-11-19,0.98,,
1990-11-20,0.98,,
1990-11-21,0.95,,
1990-11-23,0.94,,
1990-11-26,0.92,,
1990-11-27,0.89,,
1990-11-28,0.91,,
1990-11-29,0.88,,
1990-11-30,0.91,,
1990-12-03,0.97,,
1990-12-04,1.03,,
1990-12-05,1.09,,
1990-12-06,1.19,,
1990-12-07,1.14,,
1990-12-10,1.11,,
1990-12-11,1.09,,
1990-12-12,1.13,,
1990-12-13,1.16,,
1990-12-14,1.19,,
1990-12-17,1.19,,
1990-12-18,1.25,,
1990-12-19,1.3,,
1990-12-20,1.28,,
1990-12-21,1.28,,
1990-12-24,1.23,,
1990-12-26,1.2,,
1990-12-27,1.19,,
1990-12-28,1.16,,
1990-12-31,1.17,,
1991-01-02,1.17,,
1991-01-03,1.16,,
1991-01-04,1.16,,
1991-01-07,1.17,,
1991-01-08,1.19,,
1991-01-09,1.2,,
1991-01-10,1.27,,
1991-01-11,1.23,,
1991-01-14,1.2,,
1991-01-15,1.22,,
1991-01-16,1.23,,
1991-01-17,1.23,,
1991-01-18,1.3,,
1991-01-21,1.42,,
1991-01-22,1.42,,
1991-01-23,1.41,,
1991-01-24,1.36,,
1991-01-25,1.44,,
1991-01-28,1.5,,
1991-01-29,1.48,,
1991-01-30,1.5,,
1991-01-31,1.5,,
1991-02-01,1.56,,
1991-02-04,1.63,,
1991-02-05,1.64,,
1991-02-06,1.77,,
1991-02-07,1.73,,
1991-02-08,1.72,,
1991-02-11,1.75,,
1991-02-12,1.8,,
1991-02-13,1.91,,
1991-02-14,1.94,,
1991-02-15,1.92,,
1991-02-19,1.88,,
1991-02-20,1.81,,
1991-02-21,1.84,,
1991-02-22,1.88,,
1991-02-25,1.88,,
1991-02-26,1.77,,
1991-02-27,1.75,,
1991-02-28,1.81,,
1991-03-01,1.81,,
1991-03-04,1.86,,
1991-03-05,1.92,,
1991-03-06,1.92,,
1991-03-07,1.88,,
1991-03-08,1.8,,
1991-03-11,1.8,,
1991-03-12,1.78,,
1991-03-13,1.8,,
1991-03-14,1.8,,
1991-03-15,1.75,,
1991-03-18,1.73,,
1991-03-19,1.77,,
1991-03-20,1.73,,
1991-03-21,1.73,,
1991-03-22,1.77,,
1991-03-25,1.88,,
1991-03-26,1.88,,
1991-03-27,1.78,,
1991-03-28,1.81,,
1991-04-01,1.78,,
1991-04-02,1.75,,
1991-04-03,1.73,,
1991-04-04,1.77,,
1991-04-05,1.83,,
1991-04-08,1.88,,
1991-04-09,1.84,,
1991-04-10,1.88,,
1991-04-11,2.3,,
1991-04-12,2.19,,
1991-04-15,2.06,,
1991-04-16,2.16,,
1991-04-17,2.19,,
1991-04-18,2.08,,
1991-04-19,2.08,,
1991-04-22,2.09,,
1991-04-23,2.06,,
1991-04-24,2.08,,
1991-04-25,2.06,,
1991-04-26,2.06,,
1991-04-29,2.05,,
1991-04-30,2.09,,
1991-05-01,2.08,,
1991-05-02,2.09,,
1991-05-03,2.16,,
1991-05-06,2.09,,
1991-05-07,2.06,,
1991-05-08,2.08,,
1991-05-09,2.08,,
1991-05-10,2.05,,
1991-05-13,2.05,,
1991-05-14,2.05,,
1991-05-15,2.03,,
1991-05-16,2.06,,
1991-05-17,2.08,,
1991-05-20,2.06,,
1991-05-21,2.06,,
1991-05-22,1.92,,
1991-05-23,1.8,,
1991-05-24,1.89,,
1991-05-28,1.86,,
1991-05-29,1.89,,
1991-05-30,2.0,,
1991-05-31,1.98,,
1991-06-03,1.97,,
1991-06-04,1.98,,
1991-06-05,1.92,,
1991-06-06,1.92,,
1991-06-07,1.78,,
1991-06-10,1.86,,
1991-06-11,1.81,,
1991-06-12,1.75,,
1991-06-13,1.75,,
1991-06-14,1.75,,
1991-06-17,1.7,,
1991-06-18,1.58,,
1991-06-19,1.59,,
1991-06-20,1.66,,
1991-06-21,1.69,,
1991-06-24,1.59,,
1991-06-25,1.63,,
1991-06-26,1.58,,
1991-06-27,1.61,,
1991-06-28,1.58,,
1991-07-01,1.61,,
1991-07-02,1.61,,
1991-07-03,1.58,,
1991-07-05,1.59,,
1991-07-08,1.67,,
1991-07-09,1.69,,
1991-07-10,1.61,,
1991-07-11,1.56,,
1991-07-12,1.56,,
1991-07-15,1.61,,
1991-07-16,1.63,,
1991-07-17,1.72,,
1991-07-18,1.73,,
1991-07-19,1.72,,
1991-07-22,1.69,,
1991-07-23,1.66,,
1991-07-24,1.63,,
1991-07-25,1.61,,
1991-07-26,1.63,,
1991-07-29,1.63,,
1991-07-30,1.69,,
1991-07-31,1.75,,
1991-08-01,1.7,,
1991-08-02,1.67,,
1991-08-05,1.63,,
1991-08-06,1.63,,
1991-08-07,1.66,,
1991-08-08,1.69,,
1991-08-09,1.69,,
1991-08-12,1.67,,
1991-08-13,1.67,,
1991-08-14,1.69,,
1991-08-15,1.72,,
1991-08-16,1.66,,
1991-08-19,1.64,,
1991-08-20,1.64,,
1991-08-21,1.72,,
1991-08-22,1.75,,
1991-08-23,1.77,,
1991-08-26,1.81,,
1991-08-27,1.86,,
1991-08-28,1.84,,
1991-08-29,1.83,,
1991-08-30,1.83,,
1991-09-03,1.88,,
1991-09-04,1.83,,
1991-09-05,1.8,,
1991-09-06,1.81,,
1991-09-09,1.77,,
1991-09-10,1.72,,
1991-09-11,1.73,,
1991-09-12,1.69,,
1991-09-13,1.7,,
1991-09-16,1.81,,
1991-09-17,1.84,,
1991-09-18,1.88,,
1991-09-19,1.92,,
1991-09-20,1.95,,
1991-09-23,1.94,,
1991-09-24,1.91,,
1991-09-25,1.86,,
1991-09-26,1.88,,
1991-09-27,1.92,,
1991-09-30,1.94,,
1991-10-01,2.03,,
1991-10-02,1.97,,
1991-10-03,1.94,,
1991-10-04,1.92,,
1991-10-07,1.86,,
1991-10-08,1.92,,
1991-10-09,1.88,,
1991-10-10,1.97,,
1991-10-11,2.0,,
1991-10-14,1.97,,
1991-10-15,1.98,,
1991-10-16,1.98,,
1991-10-17,2.03,,
1991-10-18,2.02,,
1991-10-21,2.0,,
1991-10-22,2.0,,
1991-10-23,1.98,,
1991-10-24,2.0,,
1991-10-25,1.97,,
1991-10-28,2.06,,
1991-10-29,2.02,,
1991-10-30,1.97,,
1991-10-31,1.92,,
1991-11-01,1.88,,
1991-11-04,1.91,,
1991-11-05,1.91,,
1991-11-06,1.97,,
1991-11-07,2.08,,
1991-11-08,2.11,,
1991-11-11,2.14,,
1991-11-12,2.22,,
1991-11-13,2.17,,
1991-11-14,2.2,,
1991-11-15,2.09,,
1991-11-18,2.14,,
1991-11-19,2.11,,
1991-11-20,2.2,,
1991-11-21,2.22,,
1991-11-22,2.2,,
1991-11-25,2.2,,
1991-11-26,2.25,,
1991-11-27,2.3,,
1991-11-29,2.25,,
1991-12-02,2.22,,
1991-12-03,2.19,,
1991-12-04,2.22,,
1991-12-05,2.25,,
1991-12-06,2.34,,
1991-12-09,2.38,,
1991-12-10,2.34,,
1991-12-11,2.34,,
1991-12-12,2.36,,
1991-12-13,2.38,,
1991-12-16,2.41,,
1991-12-17,2.41,,
1991-12-18,2.44,,
1991-12-19,2.47,,
1991-12-20,2.45,,
1991-12-23,2.61,,
1991-12-24,2.72,,
1991-12-26,2.64,,
1991-12-27,2.98,,
1991-12-30,3.11,,
1991-12-31,2.94,,
1992-01-02,2.89,,
1992-01-03,2.84,,
1992-01-06,2.88,,
1992-01-07,2.78,,
1992-01-08,2.84,,
1992-01-09,2.84,,
1992-01-10,2.88,,
