date,PPG,PPG_EPS,PE Ratio
,,0.28,
1980-03-17,1.69,0.28,6.035714285714285
1980-03-18,1.66,0.28,5.928571428571428
1980-03-19,1.68,0.28,5.999999999999999
1980-03-20,1.69,0.28,6.035714285714285
1980-03-21,1.66,0.28,5.928571428571428
1980-03-24,1.68,0.28,5.999999999999999
1980-03-25,1.66,0.28,5.928571428571428
1980-03-26,1.66,0.28,5.928571428571428
1980-03-27,1.65,0.28,5.892857142857142
1980-03-28,1.66,0.28,5.928571428571428
1980-03-31,1.8,0.28,6.428571428571428
1980-04-01,1.77,0.28,6.321428571428571
1980-04-02,1.71,0.28,6.107142857142857
1980-04-03,1.72,0.28,6.142857142857142
1980-04-07,1.7,0.28,6.07142857142857
1980-04-08,1.71,0.28,6.107142857142857
1980-04-09,1.69,0.28,6.035714285714285
1980-04-10,1.69,0.28,6.035714285714285
1980-04-11,1.73,0.28,6.178571428571428
1980-04-14,1.73,0.28,6.178571428571428
1980-04-15,1.73,0.28,6.178571428571428
1980-04-16,1.73,0.28,6.178571428571428
1980-04-17,1.73,0.28,6.178571428571428
1980-04-18,1.74,0.28,6.2142857142857135
1980-04-21,1.73,0.28,6.178571428571428
1980-04-22,1.77,0.28,6.321428571428571
1980-04-23,1.77,0.28,6.321428571428571
1980-04-24,1.79,0.28,6.392857142857142
1980-04-25,1.8,0.28,6.428571428571428
1980-04-28,1.78,0.28,6.357142857142857
1980-04-29,1.81,0.28,6.4642857142857135
1980-04-30,1.84,0.28,6.571428571428571
1980-05-01,1.86,0.28,6.642857142857142
1980-05-02,1.95,0.28,6.9642857142857135
1980-05-05,1.93,0.28,6.892857142857142
1980-05-06,1.88,0.28,6.7142857142857135
1980-05-07,1.89,0.28,6.749999999999999
1980-05-08,1.9,0.28,6.785714285714285
1980-05-09,1.87,0.28,6.678571428571428
1980-05-12,1.87,0.28,6.678571428571428
1980-05-13,1.88,0.28,6.7142857142857135
1980-05-14,1.88,0.28,6.7142857142857135
1980-05-15,1.86,0.28,6.642857142857142
1980-05-16,1.77,0.28,6.321428571428571
1980-05-19,1.79,0.28,6.392857142857142
1980-05-20,1.84,0.28,6.571428571428571
1980-05-21,1.84,0.28,6.571428571428571
1980-05-22,1.83,0.28,6.535714285714286
1980-05-23,1.83,0.28,6.535714285714286
1980-05-27,1.83,0.28,6.535714285714286
1980-05-28,1.87,0.28,6.678571428571428
1980-05-29,1.85,0.28,6.607142857142857
1980-05-30,1.89,0.28,6.749999999999999
1980-06-02,1.89,0.28,6.749999999999999
1980-06-03,1.92,0.28,6.857142857142856
1980-06-04,1.93,0.28,6.892857142857142
1980-06-05,1.97,0.28,7.035714285714285
1980-06-06,1.94,0.28,6.928571428571428
