date,PPL,PPL_EPS,PE Ratio
,,0.17,
1980-03-17,3.81,0.17,22.41176470588235
1980-03-18,3.81,0.17,22.41176470588235
1980-03-19,3.81,0.17,22.41176470588235
1980-03-20,3.78,0.17,22.235294117647054
1980-03-21,3.73,0.17,21.941176470588232
1980-03-24,3.43,0.17,20.176470588235293
1980-03-25,3.46,0.17,20.352941176470587
1980-03-26,3.49,0.17,20.52941176470588
1980-03-27,3.43,0.17,20.176470588235293
1980-03-28,3.46,0.17,20.352941176470587
1980-03-31,3.43,0.17,20.176470588235293
1980-04-01,3.43,0.17,20.176470588235293
1980-04-02,3.64,0.17,21.41176470588235
1980-04-03,3.64,0.17,21.41176470588235
1980-04-07,3.7,0.17,21.764705882352942
1980-04-08,3.78,0.17,22.235294117647054
1980-04-09,4.02,0.17,23.647058823529406
1980-04-10,4.19,0.17,24.647058823529413
1980-04-11,4.28,0.17,25.176470588235293
1980-04-14,4.16,0.17,24.470588235294116
1980-04-15,4.1,0.17,24.117647058823525
1980-04-16,4.22,0.17,24.823529411764703
1980-04-17,4.22,0.17,24.823529411764703
1980-04-18,4.31,0.17,25.352941176470583
1980-04-21,4.34,0.17,25.52941176470588
1980-04-22,4.34,0.17,25.52941176470588
1980-04-23,4.45,0.17,26.176470588235293
1980-04-24,4.45,0.17,26.176470588235293
1980-04-25,4.42,0.17,25.999999999999996
1980-04-28,4.45,0.17,26.176470588235293
1980-04-29,4.4,0.17,25.88235294117647
1980-04-30,4.4,0.17,25.88235294117647
1980-05-01,4.34,0.17,25.52941176470588
1980-05-02,4.37,0.17,25.705882352941174
1980-05-05,4.42,0.17,25.999999999999996
1980-05-06,4.42,0.17,25.999999999999996
1980-05-07,4.45,0.17,26.176470588235293
1980-05-08,4.45,0.17,26.176470588235293
1980-05-09,4.42,0.17,25.999999999999996
1980-05-12,4.51,0.17,26.52941176470588
1980-05-13,4.45,0.17,26.176470588235293
1980-05-14,4.51,0.17,26.52941176470588
1980-05-15,4.54,0.17,26.705882352941174
1980-05-16,4.51,0.17,26.52941176470588
1980-05-19,4.57,0.17,26.88235294117647
1980-05-20,4.57,0.17,26.88235294117647
1980-05-21,4.57,0.17,26.88235294117647
1980-05-22,4.57,0.17,26.88235294117647
1980-05-23,4.6,0.17,27.05882352941176
1980-05-27,4.74,0.17,27.88235294117647
1980-05-28,4.74,0.17,27.88235294117647
1980-05-29,4.69,0.17,27.58823529411765
1980-05-30,4.69,0.17,27.58823529411765
1980-06-02,4.63,0.17,27.235294117647058
1980-06-03,4.63,0.17,27.235294117647058
1980-06-04,4.45,0.17,26.176470588235293
1980-06-05,4.45,0.17,26.176470588235293
1980-06-06,4.48,0.17,26.35294117647059
1980-06-09,4.48,0.17,26.35294117647059
1980-06-10,4.48,0.17,26.35294117647059
1980-06-11,4.51,0.17,26.52941176470588
1980-06-12,4.48,0.17,26.35294117647059
1980-06-13,4.6,0.17,27.05882352941176
1980-06-16,4.63,0.17,27.235294117647058
1980-06-17,4.66,0.17,27.41176470588235
