date,RSG,RSG_EPS,PE Ratio
,,0.09,
1998-07-01,17.0,0.09,188.88888888888889
1998-07-02,17.13,0.09,190.33333333333334
1998-07-06,17.25,0.09,191.66666666666669
1998-07-07,17.0,0.09,188.88888888888889
1998-07-08,17.13,0.09,190.33333333333334
1998-07-09,17.25,0.09,191.66666666666669
1998-07-10,17.21,0.09,191.22222222222223
1998-07-13,17.17,0.09,190.7777777777778
1998-07-14,17.04,0.09,189.33333333333334
1998-07-15,17.33,0.09,192.55555555555554
1998-07-16,17.13,0.09,190.33333333333334
1998-07-17,17.33,0.09,192.55555555555554
1998-07-20,18.25,0.09,202.77777777777777
1998-07-21,17.71,0.09,196.7777777777778
1998-07-22,17.08,0.09,189.77777777777777
1998-07-23,17.0,0.09,188.88888888888889
1998-07-24,17.33,0.09,192.55555555555554
1998-07-27,17.25,0.09,191.66666666666669
1998-07-28,16.67,0.09,185.22222222222226
1998-07-29,16.42,0.09,182.44444444444446
1998-07-30,16.67,0.09,185.22222222222226
1998-07-31,16.67,0.09,185.22222222222226
1998-08-03,16.25,0.09,180.55555555555557
1998-08-04,15.33,0.09,170.33333333333334
1998-08-05,14.63,0.09,162.55555555555557
1998-08-06,14.58,0.09,162.0
1998-08-07,14.75,0.09,163.88888888888889
1998-08-10,15.42,0.09,171.33333333333334
1998-08-11,14.67,0.09,163.0
1998-08-12,14.67,0.09,163.0
1998-08-13,14.5,0.17,85.29411764705881
1998-08-14,14.67,0.17,86.29411764705881
1998-08-17,14.67,0.17,86.29411764705881
1998-08-18,14.67,0.17,86.29411764705881
1998-08-19,14.63,0.17,86.05882352941177
1998-08-20,14.67,0.17,86.29411764705881
1998-08-21,13.67,0.17,80.41176470588235
1998-08-24,13.79,0.17,81.11764705882352
1998-08-25,13.88,0.17,81.6470588235294
1998-08-26,13.96,0.17,82.11764705882352
1998-08-27,12.58,0.17,74.0
1998-08-28,11.25,0.17,66.17647058823529
1998-08-31,10.75,0.17,63.23529411764705
1998-09-01,10.83,0.17,63.705882352941174
1998-09-02,10.58,0.17,62.23529411764706
1998-09-03,10.58,0.17,62.23529411764706
1998-09-04,10.58,0.17,62.23529411764706
1998-09-08,11.17,0.17,65.70588235294117
1998-09-09,10.75,0.17,63.23529411764705
1998-09-10,9.88,0.17,58.11764705882353
1998-09-11,9.96,0.17,58.588235294117645
1998-09-14,9.96,0.17,58.588235294117645
1998-09-15,9.17,0.17,53.94117647058823
1998-09-16,9.67,0.17,56.882352941176464
1998-09-17,10.13,0.17,59.588235294117645
1998-09-18,10.17,0.17,59.8235294117647
1998-09-21,10.21,0.17,60.05882352941177
1998-09-22,11.5,0.17,67.6470588235294
1998-09-23,13.29,0.17,78.17647058823529
1998-09-24,13.0,0.17,76.47058823529412
1998-09-25,13.13,0.17,77.23529411764706
1998-09-28,13.25,0.17,77.94117647058823
1998-09-29,12.83,0.17,75.47058823529412
1998-09-30,13.0,0.17,76.47058823529412
1998-10-01,13.25,0.17,77.94117647058823
1998-10-02,12.67,0.17,74.52941176470587
1998-10-05,12.96,0.17,76.23529411764706
1998-10-06,12.63,0.17,74.29411764705883
1998-10-07,10.17,0.17,59.8235294117647
1998-10-08,9.67,0.17,56.882352941176464
1998-10-09,10.92,0.17,64.23529411764706
1998-10-12,11.29,0.17,66.41176470588235
1998-10-13,11.0,0.17,64.70588235294117
1998-10-14,10.83,0.17,63.705882352941174
1998-10-15,10.79,0.17,63.47058823529411
1998-10-16,10.67,0.17,62.764705882352935
1998-10-19,11.17,0.17,65.70588235294117
1998-10-20,11.17,0.17,65.70588235294117
1998-10-21,11.04,0.17,64.94117647058823
1998-10-22,11.33,0.17,66.6470588235294
1998-10-23,11.38,0.17,66.94117647058823
