date,SPG,SPG_EPS,PE Ratio
,,0.05,
1993-12-14,20.883219,0.05,417.66438
1993-12-15,20.883219,0.05,417.66438
1993-12-16,20.883219,0.05,417.66438
1993-12-17,20.7672,0.05,415.34399999999994
1993-12-20,20.883219,0.05,417.66438
1993-12-21,20.7672,0.05,415.34399999999994
1993-12-22,20.883219,0.05,417.66438
1993-12-23,20.883219,0.05,417.66438
1993-12-27,20.7672,0.05,415.34399999999994
1993-12-28,20.883219,0.05,417.66438
1993-12-29,20.883219,0.05,417.66438
1993-12-30,20.883219,0.05,417.66438
1993-12-31,20.999237,0.05,419.98474
1994-01-03,20.883219,0.05,417.66438
1994-01-04,20.999237,0.05,419.98474
1994-01-05,20.883219,0.05,417.66438
1994-01-06,20.883219,0.05,417.66438
1994-01-07,21.115255,0.05,422.3051
1994-01-10,21.34729,0.05,426.9458
1994-01-11,21.579327,0.05,431.58653999999996
1994-01-12,21.579327,0.05,431.58653999999996
1994-01-13,21.92738,0.05,438.5476
1994-01-14,21.811361,0.05,436.22722
1994-01-17,21.811361,0.05,436.22722
1994-01-18,21.92738,0.05,438.5476
1994-01-19,21.811361,0.05,436.22722
1994-01-20,21.92738,0.05,438.5476
1994-01-21,21.92738,0.05,438.5476
1994-01-24,21.695345,0.05,433.90689999999995
1994-01-25,21.92738,0.05,438.5476
1994-01-26,22.275433,0.05,445.50865999999996
1994-01-27,22.739506,0.05,454.79011999999994
1994-01-28,22.855522,0.05,457.11044
1994-01-31,22.739506,0.05,454.79011999999994
1994-02-01,23.203577,0.05,464.07153999999997
1994-02-02,23.087559,0.05,461.75118
1994-02-03,23.087559,0.05,461.75118
1994-02-04,22.623487,0.05,452.46974
1994-02-07,22.739506,0.05,454.79011999999994
1994-02-08,23.203577,0.05,464.07153999999997
1994-02-09,22.97154,0.05,459.4308
1994-02-10,22.855522,0.05,457.11044
1994-02-11,23.435612,0.05,468.71223999999995
1994-02-14,23.783667,0.05,475.67334
1994-02-15,23.55163,0.05,471.03259999999995
1994-02-16,23.783667,0.05,475.67334
1994-02-17,24.015701,0.05,480.31401999999997
1994-02-18,24.015701,0.05,480.31401999999997
1994-02-22,24.13172,0.05,482.6344
1994-02-23,24.479773,0.05,489.59546
1994-02-24,24.711809,0.05,494.23617999999993
1994-02-25,24.595791,0.05,491.91581999999994
1994-02-28,23.899683,0.05,477.99366
1994-03-01,24.247738,0.05,484.95475999999996
1994-03-02,24.363756,0.05,487.27511999999996
1994-03-03,24.13172,0.05,482.6344
1994-03-04,24.13172,0.05,482.6344
1994-03-07,24.595791,0.05,491.91581999999994
1994-03-08,24.479773,0.05,489.59546
1994-03-09,24.595791,0.05,491.91581999999994
1994-03-10,24.595791,0.05,491.91581999999994
1994-03-11,25.059862,0.05,501.19723999999997
1994-03-14,25.17588,0.05,503.51759999999996
1994-03-15,25.291899,0.05,505.83798
1994-03-16,25.523933,0.05,510.47866
1994-03-17,24.827827,0.05,496.55654
1994-03-18,25.639952,0.05,512.79904
1994-03-21,25.523933,0.05,510.47866
1994-03-22,25.523933,0.05,510.47866
1994-03-23,25.988007,0.05,519.76014
1994-03-24,25.75597,0.05,515.1194
1994-03-25,25.75597,0.05,515.1194
1994-03-28,24.711809,0.05,494.23617999999993
1994-03-29,24.015701,0.05,480.31401999999997
1994-03-30,24.015701,0.05,480.31401999999997
1994-03-31,23.783667,0.05,475.67334
1994-04-04,23.203577,0.05,464.07153999999997
1994-04-05,23.783667,0.05,475.67334
1994-04-06,24.13172,0.05,482.6344
1994-04-07,24.015701,0.05,480.31401999999997
1994-04-08,24.015701,0.05,480.31401999999997
1994-04-11,24.015701,0.05,480.31401999999997
1994-04-12,24.015701,0.05,480.31401999999997
1994-04-13,23.899683,0.05,477.99366
1994-04-14,24.363756,0.05,487.27511999999996
1994-04-15,23.899683,0.05,477.99366
1994-04-18,24.13172,0.05,482.6344
1994-04-19,24.015701,0.05,480.31401999999997
1994-04-20,23.899683,0.05,477.99366
1994-04-21,23.899683,0.05,477.99366
1994-04-22,23.667648,0.05,473.35296
1994-04-25,23.783667,0.05,475.67334
1994-04-26,23.783667,0.05,475.67334
1994-04-28,24.015701,0.05,480.31401999999997
1994-04-29,24.827827,0.05,496.55654
1994-05-02,25.291899,0.05,505.83798
1994-05-03,24.827827,0.05,496.55654
1994-05-04,24.595791,0.05,491.91581999999994
1994-05-05,25.291899,0.05,505.83798
1994-05-06,25.523933,0.05,510.47866
1994-05-09,25.523933,0.05,510.47866
