date,SRE,SRE_EPS,PE Ratio
,,0.54,
1994-05-16,,0.41,
1994-08-12,,0.26,
1994-11-14,,0.4,
1995-05-12,,0.45,
1995-08-10,,0.38,
1995-11-14,,0.44,
1996-05-07,,0.47,
1996-07-29,,0.42,
1996-11-07,,0.45,
1997-05-14,,0.41,
1997-08-14,,0.47,
1997-11-14,,0.43,
1998-06-29,28.56,0.43,66.4186046511628
1998-06-30,27.81,0.43,64.67441860465117
1998-07-01,27.88,0.43,64.83720930232558
1998-07-02,27.69,0.43,64.39534883720931
1998-07-06,27.19,0.43,63.23255813953489
1998-07-07,27.06,0.43,62.93023255813953
1998-07-08,27.25,0.43,63.372093023255815
1998-07-09,27.0,0.43,62.7906976744186
1998-07-10,27.0,0.43,62.7906976744186
1998-07-13,26.88,0.43,62.51162790697674
1998-07-14,27.0,0.43,62.7906976744186
1998-07-15,26.94,0.43,62.651162790697676
1998-07-16,26.63,0.43,61.93023255813954
1998-07-17,26.5,0.43,61.627906976744185
1998-07-20,26.31,0.43,61.18604651162791
1998-07-21,26.0,0.43,60.46511627906977
1998-07-22,26.06,0.43,60.604651162790695
1998-07-23,26.31,0.43,61.18604651162791
1998-07-24,26.13,0.43,60.76744186046511
1998-07-27,26.19,0.43,60.90697674418605
1998-07-28,25.75,0.43,59.883720930232556
1998-07-29,25.5,0.43,59.30232558139535
1998-07-30,25.75,0.43,59.883720930232556
1998-07-31,25.19,0.43,58.58139534883721
1998-08-03,24.88,0.43,57.860465116279066
1998-08-04,24.06,0.43,55.95348837209302
1998-08-05,25.13,0.43,58.44186046511628
1998-08-06,24.75,0.43,57.55813953488372
1998-08-07,24.44,0.43,56.83720930232558
1998-08-10,24.75,0.43,57.55813953488372
1998-08-11,24.19,0.43,56.25581395348838
1998-08-12,25.13,0.43,58.44186046511628
1998-08-13,24.94,0.43,58.00000000000001
1998-08-14,24.75,0.13,190.3846153846154
1998-08-17,25.25,0.13,194.23076923076923
1998-08-18,25.0,0.13,192.3076923076923
1998-08-19,24.88,0.13,191.38461538461536
1998-08-20,25.06,0.13,192.76923076923075
1998-08-21,25.25,0.13,194.23076923076923
1998-08-24,25.38,0.13,195.23076923076923
1998-08-25,25.75,0.13,198.07692307692307
1998-08-26,25.63,0.13,197.15384615384613
1998-08-27,25.56,0.13,196.61538461538458
1998-08-28,25.63,0.13,197.15384615384613
1998-08-31,25.44,0.13,195.6923076923077
1998-09-01,25.31,0.13,194.69230769230768
1998-09-02,25.06,0.13,192.76923076923075
1998-09-03,25.0,0.13,192.3076923076923
1998-09-04,25.13,0.13,193.3076923076923
1998-09-08,25.31,0.13,194.69230769230768
1998-09-09,25.25,0.13,194.23076923076923
1998-09-10,25.31,0.13,194.69230769230768
1998-09-11,25.38,0.13,195.23076923076923
1998-09-14,25.75,0.13,198.07692307692307
1998-09-15,26.31,0.13,202.38461538461536
1998-09-16,26.44,0.13,203.3846153846154
1998-09-17,25.94,0.13,199.53846153846155
1998-09-18,26.31,0.13,202.38461538461536
1998-09-21,26.31,0.13,202.38461538461536
1998-09-22,26.06,0.13,200.46153846153845
1998-09-23,26.69,0.13,205.30769230769232
1998-09-24,26.25,0.13,201.9230769230769
1998-09-25,26.38,0.13,202.9230769230769
1998-09-28,26.5,0.13,203.84615384615384
1998-09-29,26.75,0.13,205.76923076923077
1998-09-30,26.06,0.13,200.46153846153845
1998-10-01,26.69,0.13,205.30769230769232
1998-10-02,27.81,0.13,213.9230769230769
1998-10-05,28.69,0.13,220.6923076923077
1998-10-06,28.81,0.13,221.61538461538458
1998-10-07,29.19,0.13,224.53846153846155
