date,TDG,TDG_EPS,PE Ratio
,,0.14,
2006-03-15,24.1,0.14,172.14285714285714
2006-03-16,24.27,0.14,173.35714285714283
2006-03-17,25.01,0.14,178.64285714285714
2006-03-20,24.9,0.14,177.85714285714283
2006-03-21,24.2,0.14,172.85714285714283
2006-03-22,24.16,0.14,172.57142857142856
2006-03-23,24.1,0.14,172.14285714285714
2006-03-24,24.5,0.14,174.99999999999997
2006-03-27,24.75,0.14,176.78571428571428
2006-03-28,24.7,0.14,176.42857142857142
2006-03-29,24.9,0.14,177.85714285714283
2006-03-30,25.45,0.14,181.78571428571425
2006-03-31,25.75,0.14,183.92857142857142
2006-04-03,24.9,0.14,177.85714285714283
2006-04-04,24.8,0.14,177.14285714285714
2006-04-05,24.68,0.14,176.28571428571428
2006-04-06,24.25,0.14,173.2142857142857
2006-04-07,24.11,0.14,172.2142857142857
2006-04-10,24.31,0.14,173.6428571428571
2006-04-11,24.1,0.14,172.14285714285714
2006-04-12,24.1,0.14,172.14285714285714
2006-04-13,24.38,0.14,174.1428571428571
2006-04-17,24.6,0.14,175.7142857142857
2006-04-18,24.25,0.14,173.2142857142857
2006-04-19,24.75,0.14,176.78571428571428
2006-04-20,25.6,0.14,182.85714285714286
2006-04-21,25.45,0.14,181.78571428571425
2006-04-24,25.51,0.14,182.2142857142857
2006-04-25,25.8,0.14,184.28571428571428
2006-04-26,25.75,0.14,183.92857142857142
2006-04-27,25.39,0.14,181.35714285714283
2006-04-28,24.73,0.14,176.64285714285714
2006-05-01,25.14,0.14,179.57142857142856
2006-05-02,24.75,0.14,176.78571428571428
2006-05-03,24.62,0.14,175.85714285714286
2006-05-04,24.58,0.14,175.57142857142856
2006-05-05,24.55,0.14,175.35714285714283
2006-05-08,24.86,0.14,177.57142857142856
2006-05-09,24.92,0.14,178.0
2006-05-10,24.99,0.14,178.49999999999997
2006-05-11,25.8,0.14,184.28571428571428
2006-05-12,25.47,0.14,181.92857142857142
2006-05-15,25.28,0.14,180.57142857142856
2006-05-16,25.54,0.14,182.42857142857142
2006-05-17,25.4,0.14,181.4285714285714
2006-05-18,25.41,0.14,181.49999999999997
2006-05-19,25.4,0.14,181.4285714285714
2006-05-22,25.51,0.14,182.2142857142857
2006-05-23,25.25,0.14,180.35714285714283
2006-05-24,25.3,0.14,180.7142857142857
2006-05-25,25.08,0.14,179.1428571428571
2006-05-26,25.0,0.14,178.57142857142856
2006-05-30,24.98,0.14,178.42857142857142
2006-05-31,25.19,0.14,179.92857142857142
2006-06-01,26.0,0.14,185.7142857142857
2006-06-02,26.5,0.14,189.28571428571428
2006-06-05,26.48,0.14,189.14285714285714
2006-06-06,26.05,0.14,186.07142857142856
2006-06-07,25.87,0.14,184.78571428571428
2006-06-08,25.82,0.14,184.42857142857142
2006-06-09,24.8,0.14,177.14285714285714
2006-06-12,24.01,0.14,171.5
2006-06-13,23.04,0.14,164.57142857142856
2006-06-14,22.23,0.14,158.78571428571428
2006-06-15,22.45,0.14,160.35714285714283
2006-06-16,23.45,0.14,167.49999999999997
2006-06-19,22.9,0.14,163.57142857142856
2006-06-20,23.67,0.14,169.07142857142856
2006-06-21,24.44,0.14,174.57142857142856
2006-06-22,24.63,0.14,175.92857142857142
2006-06-23,25.38,0.14,181.28571428571425
2006-06-26,26.06,0.14,186.1428571428571
2006-06-27,26.11,0.14,186.49999999999997
2006-06-28,25.47,0.14,181.92857142857142
2006-06-29,25.88,0.14,184.85714285714283
2006-06-30,23.95,0.14,171.07142857142856
2006-07-03,23.53,0.14,168.07142857142856
2006-07-05,23.48,0.14,167.7142857142857
2006-07-06,23.04,0.14,164.57142857142856
2006-07-07,23.0,0.14,164.28571428571428
2006-07-10,23.16,0.14,165.42857142857142
2006-07-11,23.47,0.14,167.6428571428571
2006-07-12,23.55,0.14,168.2142857142857
2006-07-13,23.48,0.14,167.7142857142857
2006-07-14,23.11,0.14,165.07142857142856
2006-07-17,23.19,0.14,165.64285714285714
2006-07-18,23.65,0.14,168.92857142857142
2006-07-19,24.98,0.14,178.42857142857142
2006-07-20,25.01,0.14,178.64285714285714
2006-07-21,25.02,0.14,178.7142857142857
2006-07-24,25.58,0.14,182.7142857142857
2006-07-25,26.14,0.14,186.7142857142857
2006-07-26,25.11,0.14,179.35714285714283
2006-07-27,25.0,0.14,178.57142857142856
2006-07-28,25.5,0.14,182.14285714285714
2006-07-31,25.6,0.14,182.85714285714286
2006-08-01,25.1,0.14,179.28571428571428
2006-08-02,25.19,0.14,179.92857142857142
2006-08-03,25.53,0.14,182.35714285714286
2006-08-04,24.99,0.14,178.49999999999997
2006-08-07,24.77,0.14,176.92857142857142
2006-08-08,24.32,0.14,173.7142857142857
2006-08-09,23.18,0.14,165.57142857142856
2006-08-10,23.7,0.14,169.28571428571428
2006-08-11,23.56,0.14,168.28571428571425
2006-08-14,23.95,0.14,171.07142857142856
2006-08-15,24.0,-0.3,-80.0
2006-08-16,23.86,-0.3,-79.53333333333333
2006-08-17,23.82,-0.3,-79.4
2006-08-18,23.82,-0.3,-79.4
2006-08-21,23.46,-0.3,-78.2
2006-08-22,23.27,-0.3,-77.56666666666666
2006-08-23,22.6,-0.3,-75.33333333333334
2006-08-24,22.36,-0.3,-74.53333333333333
2006-08-25,22.61,-0.3,-75.36666666666667
2006-08-28,22.8,-0.3,-76.0
2006-08-29,22.48,-0.3,-74.93333333333334
2006-08-30,22.73,-0.3,-75.76666666666667
2006-08-31,22.63,-0.3,-75.43333333333334
2006-09-01,22.17,-0.3,-73.9
2006-09-05,23.06,-0.3,-76.86666666666666
2006-09-06,23.09,-0.3,-76.96666666666667
2006-09-07,24.06,-0.3,-80.2
2006-09-08,23.95,-0.3,-79.83333333333333
2006-09-11,24.06,-0.3,-80.2
2006-09-12,23.86,-0.3,-79.53333333333333
2006-09-13,23.81,-0.3,-79.36666666666666
2006-09-14,23.5,-0.3,-78.33333333333334
2006-09-15,23.56,-0.3,-78.53333333333333
2006-09-18,23.4,-0.3,-78.0
2006-09-19,23.39,-0.3,-77.96666666666667
2006-09-20,24.45,-0.3,-81.5
2006-09-21,24.32,-0.3,-81.06666666666668
2006-09-22,24.16,-0.3,-80.53333333333333
2006-09-25,23.83,-0.3,-79.43333333333334
2006-09-26,23.79,-0.3,-79.3
2006-09-27,24.23,-0.3,-80.76666666666667
2006-09-28,24.8,-0.3,-82.66666666666667
2006-09-29,24.42,-0.3,-81.4
2006-10-02,23.69,-0.3,-78.96666666666667
2006-10-03,23.62,-0.3,-78.73333333333333
2006-10-04,24.0,-0.3,-80.0
2006-10-05,24.92,-0.3,-83.06666666666668
2006-10-06,24.58,-0.3,-81.93333333333334
2006-10-09,24.88,-0.3,-82.93333333333334
2006-10-10,24.8,-0.3,-82.66666666666667
2006-10-11,24.79,-0.3,-82.63333333333334
2006-10-12,24.97,-0.3,-83.23333333333333
2006-10-13,24.8,-0.3,-82.66666666666667
2006-10-16,24.55,-0.3,-81.83333333333334
2006-10-17,24.41,-0.3,-81.36666666666667
2006-10-18,24.42,-0.3,-81.4
2006-10-19,24.48,-0.3,-81.60000000000001
2006-10-20,24.8,-0.3,-82.66666666666667
2006-10-23,24.25,-0.3,-80.83333333333334
2006-10-24,23.39,-0.3,-77.96666666666667
2006-10-25,23.5,-0.3,-78.33333333333334
2006-10-26,24.08,-0.3,-80.26666666666667
2006-10-27,23.82,-0.3,-79.4
2006-10-30,24.53,-0.3,-81.76666666666668
2006-10-31,24.02,-0.3,-80.06666666666666
2006-11-01,23.85,-0.3,-79.50000000000001
2006-11-02,24.01,-0.3,-80.03333333333335
2006-11-03,23.59,-0.3,-78.63333333333334
2006-11-06,23.99,-0.3,-79.96666666666667
2006-11-07,24.01,-0.3,-80.03333333333335
2006-11-08,24.11,-0.3,-80.36666666666667
2006-11-09,23.6,-0.3,-78.66666666666667
2006-11-10,24.17,-0.3,-80.56666666666668
2006-11-13,24.49,-0.3,-81.63333333333333
2006-11-14,25.0,-0.3,-83.33333333333334
2006-11-15,25.42,-0.3,-84.73333333333335
2006-11-16,25.1,-0.3,-83.66666666666667
2006-11-17,24.39,-0.3,-81.30000000000001
2006-11-20,24.25,-0.3,-80.83333333333334
2006-11-21,24.46,-0.3,-81.53333333333335
2006-11-22,24.01,-0.3,-80.03333333333335
2006-11-24,24.11,-0.3,-80.36666666666667
2006-11-27,24.17,-0.3,-80.56666666666668
2006-11-28,24.16,0.32,75.5
2006-11-29,24.69,0.32,77.15625
2006-11-30,24.42,0.32,76.3125
2006-12-01,25.6,0.32,80.0
2006-12-04,25.23,0.32,78.84375
2006-12-05,25.78,0.32,80.5625
2006-12-06,25.8,0.32,80.625
2006-12-07,25.86,0.32,80.8125
2006-12-08,26.15,0.32,81.71875
2006-12-11,26.15,0.32,81.71875
2006-12-12,26.56,0.32,83.0
2006-12-13,27.13,0.32,84.78125
2006-12-14,27.31,0.32,85.34375
