date,TXT,TXT_EPS,PE Ratio
,,0.2,
1989-09-19,6.72,0.2,33.599999999999994
1989-09-20,6.78,0.2,33.9
1989-09-21,6.94,0.2,34.7
1989-09-22,7.0,0.2,35.0
1989-09-25,6.91,0.2,34.55
1989-09-26,6.91,0.2,34.55
1989-09-27,6.84,0.2,34.199999999999996
1989-09-28,6.72,0.2,33.599999999999994
1989-09-29,6.75,0.2,33.75
1989-10-02,6.84,0.2,34.199999999999996
1989-10-03,6.94,0.2,34.7
1989-10-04,6.88,0.2,34.4
1989-10-05,6.91,0.2,34.55
1989-10-06,6.78,0.2,33.9
1989-10-09,6.97,0.2,34.849999999999994
1989-10-10,6.91,0.2,34.55
1989-10-11,6.97,0.2,34.849999999999994
1989-10-12,6.97,0.2,34.849999999999994
1989-10-13,6.13,0.2,30.65
1989-10-16,6.66,0.2,33.3
1989-10-17,6.56,0.2,32.8
1989-10-18,6.56,0.2,32.8
1989-10-19,6.59,0.2,32.949999999999996
1989-10-20,6.47,0.2,32.349999999999994
1989-10-23,6.47,0.2,32.349999999999994
1989-10-24,6.22,0.2,31.099999999999998
1989-10-25,6.38,0.2,31.9
1989-10-26,6.28,0.2,31.4
1989-10-27,6.16,0.2,30.8
1989-10-30,6.13,0.2,30.65
1989-10-31,6.28,0.2,31.4
1989-11-01,6.25,0.2,31.25
1989-11-02,6.13,0.2,30.65
1989-11-03,6.13,0.2,30.65
1989-11-06,6.03,0.2,30.15
1989-11-07,6.0,0.2,30.0
1989-11-08,5.94,0.2,29.7
1989-11-09,6.0,0.2,30.0
1989-11-10,6.13,0.2,30.65
1989-11-13,6.13,0.2,30.65
1989-11-14,6.16,0.2,30.8
1989-11-15,6.09,0.2,30.45
1989-11-16,6.06,0.2,30.299999999999997
1989-11-17,6.09,0.2,30.45
1989-11-20,5.84,0.2,29.2
1989-11-21,5.75,0.2,28.75
1989-11-22,5.91,0.2,29.55
1989-11-24,6.03,0.2,30.15
1989-11-27,6.06,0.2,30.299999999999997
1989-11-28,6.13,0.2,30.65
1989-11-29,6.16,0.2,30.8
1989-11-30,6.25,0.2,31.25
1989-12-01,6.25,0.2,31.25
1989-12-04,6.16,0.2,30.8
1989-12-05,6.03,0.2,30.15
1989-12-06,6.06,0.2,30.299999999999997
1989-12-07,5.94,0.2,29.7
1989-12-08,5.94,0.2,29.7
1989-12-11,5.91,0.2,29.55
1989-12-12,5.97,0.2,29.849999999999998
1989-12-13,6.0,0.2,30.0
1989-12-14,6.06,0.2,30.299999999999997
1989-12-15,6.13,0.2,30.65
1989-12-18,6.09,0.2,30.45
1989-12-19,5.91,0.2,29.55
1989-12-20,6.0,0.2,30.0
1989-12-21,6.03,0.2,30.15
1989-12-22,5.94,0.2,29.7
1989-12-26,5.94,0.2,29.7
1989-12-27,6.03,0.2,30.15
1989-12-28,6.03,0.2,30.15
1989-12-29,6.16,0.2,30.8
1990-01-02,6.25,0.2,31.25
1990-01-03,6.06,0.2,30.299999999999997
1990-01-04,6.09,0.2,30.45
1990-01-05,6.22,0.2,31.099999999999998
1990-01-08,6.03,0.2,30.15
1990-01-09,5.94,0.2,29.7
1990-01-10,5.91,0.2,29.55
1990-01-11,5.94,0.2,29.7
1990-01-12,5.69,0.2,28.45
1990-01-15,5.72,0.2,28.599999999999998
1990-01-16,5.75,0.2,28.75
1990-01-17,5.81,0.2,29.049999999999997
1990-01-18,5.91,0.2,29.55
1990-01-19,5.75,0.2,28.75
1990-01-22,5.59,0.2,27.95
1990-01-23,5.56,0.2,27.799999999999997
1990-01-24,5.53,0.2,27.65
1990-01-25,5.41,0.2,27.05
1990-01-26,5.53,0.2,27.65
1990-01-29,5.53,0.2,27.65
1990-01-30,5.28,0.2,26.4
1990-01-31,5.38,0.2,26.9
1990-02-01,5.44,0.2,27.2
1990-02-02,5.66,0.2,28.3
1990-02-05,5.78,0.2,28.9
1990-02-06,5.66,0.2,28.3
1990-02-07,5.78,0.2,28.9
1990-02-08,5.88,0.2,29.4
1990-02-09,5.84,0.2,29.2
1990-02-12,5.59,0.2,27.95
1990-02-13,5.72,0.2,28.599999999999998
1990-02-14,5.72,0.2,28.599999999999998
1990-02-15,5.66,0.2,28.3
1990-02-16,5.59,0.2,27.95
1990-02-20,5.44,0.2,27.2
1990-02-21,5.31,0.2,26.549999999999997
1990-02-22,5.47,0.2,27.349999999999998
1990-02-23,5.5,0.2,27.5
1990-02-26,5.63,0.2,28.15
1990-02-27,5.69,0.2,28.45
1990-02-28,5.78,0.2,28.9
1990-03-01,5.84,0.2,29.2
1990-03-02,5.97,0.2,29.849999999999998
1990-03-05,5.97,0.2,29.849999999999998
1990-03-06,6.06,0.2,30.299999999999997
1990-03-07,6.09,0.2,30.45
1990-03-08,6.28,0.2,31.4
1990-03-09,6.25,0.2,31.25
1990-03-12,6.25,0.2,31.25
1990-03-13,6.09,0.2,30.45
1990-03-14,5.94,0.2,29.7
1990-03-15,6.0,0.2,30.0
1990-03-16,5.94,0.2,29.7
1990-03-19,5.94,0.2,29.7
1990-03-20,6.0,0.2,30.0
1990-03-21,5.84,0.2,29.2
1990-03-22,5.75,0.2,28.75
1990-03-23,5.84,0.2,29.2
1990-03-26,5.88,0.2,29.4
1990-03-27,5.72,0.2,28.599999999999998
1990-03-28,5.69,0.2,28.45
1990-03-29,5.66,0.2,28.3
1990-03-30,5.66,0.2,28.3
1990-04-02,5.63,0.2,28.15
1990-04-03,5.84,0.2,29.2
1990-04-04,5.84,0.2,29.2
1990-04-05,5.78,0.2,28.9
1990-04-06,5.75,0.2,28.75
1990-04-09,5.81,0.2,29.049999999999997
1990-04-10,5.91,0.2,29.55
1990-04-11,5.88,0.2,29.4
1990-04-12,5.88,0.2,29.4
1990-04-16,5.94,0.2,29.7
1990-04-17,6.0,0.2,30.0
1990-04-18,6.0,0.2,30.0
1990-04-19,5.91,0.2,29.55
1990-04-20,5.78,0.2,28.9
1990-04-23,5.75,0.2,28.75
1990-04-24,5.94,0.2,29.7
1990-04-25,6.03,0.2,30.15
1990-04-26,6.0,0.2,30.0
1990-04-27,6.0,0.2,30.0
1990-04-30,6.0,0.2,30.0
1990-05-01,6.0,0.2,30.0
1990-05-02,6.0,0.2,30.0
1990-05-03,6.03,0.2,30.15
1990-05-04,5.97,0.2,29.849999999999998
1990-05-07,6.0,0.2,30.0
1990-05-08,6.03,0.2,30.15
1990-05-09,6.0,0.2,30.0
1990-05-10,6.06,0.2,30.299999999999997
1990-05-11,6.09,0.2,30.45
1990-05-14,6.19,0.2,30.95
1990-05-15,6.19,0.2,30.95
1990-05-16,6.16,0.2,30.8
1990-05-17,6.09,0.2,30.45
1990-05-18,6.09,0.2,30.45
1990-05-21,5.97,0.2,29.849999999999998
1990-05-22,5.91,0.2,29.55
1990-05-23,6.0,0.2,30.0
1990-05-24,5.97,0.2,29.849999999999998
1990-05-25,5.97,0.2,29.849999999999998
1990-05-29,6.03,0.2,30.15
1990-05-30,6.03,0.2,30.15
1990-05-31,6.13,0.2,30.65
1990-06-01,6.13,0.2,30.65
1990-06-04,6.03,0.2,30.15
1990-06-05,6.09,0.2,30.45
1990-06-06,6.09,0.2,30.45
1990-06-07,6.06,0.2,30.299999999999997
1990-06-08,6.03,0.2,30.15
1990-06-11,6.0,0.2,30.0
1990-06-12,6.06,0.2,30.299999999999997
1990-06-13,6.03,0.2,30.15
1990-06-14,6.0,0.2,30.0
1990-06-15,5.97,0.2,29.849999999999998
1990-06-18,5.88,0.2,29.4
1990-06-19,6.03,0.2,30.15
1990-06-20,6.03,0.2,30.15
1990-06-21,6.06,0.2,30.299999999999997
1990-06-22,6.0,0.2,30.0
1990-06-25,5.91,0.2,29.55
1990-06-26,5.94,0.2,29.7
1990-06-27,5.94,0.2,29.7
1990-06-28,5.91,0.2,29.55
1990-06-29,5.94,0.2,29.7
1990-07-02,5.91,0.2,29.55
1990-07-03,5.91,0.2,29.55
1990-07-05,5.88,0.2,29.4
1990-07-06,5.94,0.2,29.7
1990-07-09,5.97,0.2,29.849999999999998
1990-07-10,5.91,0.2,29.55
1990-07-11,6.06,0.2,30.299999999999997
1990-07-12,6.06,0.2,30.299999999999997
1990-07-13,5.97,0.2,29.849999999999998
1990-07-16,5.94,0.2,29.7
1990-07-17,5.91,0.2,29.55
1990-07-18,5.88,0.2,29.4
1990-07-19,5.84,0.2,29.2
1990-07-20,5.88,0.2,29.4
1990-07-23,5.81,0.2,29.049999999999997
1990-07-24,5.84,0.2,29.2
1990-07-25,5.84,0.2,29.2
1990-07-26,5.78,0.2,28.9
1990-07-27,5.66,0.2,28.3
1990-07-30,5.72,0.2,28.599999999999998
1990-07-31,5.69,0.2,28.45
1990-08-01,5.72,0.2,28.599999999999998
1990-08-02,5.75,0.2,28.75
1990-08-03,5.72,0.2,28.599999999999998
1990-08-06,5.63,0.2,28.15
1990-08-07,5.56,0.2,27.799999999999997
1990-08-08,5.5,0.2,27.5
1990-08-09,5.66,0.2,28.3
1990-08-10,5.44,0.2,27.2
1990-08-13,5.56,0.2,27.799999999999997
1990-08-14,5.56,0.2,27.799999999999997
1990-08-15,5.44,0.2,27.2
1990-08-16,5.38,0.2,26.9
1990-08-17,5.34,0.2,26.7
1990-08-20,5.34,0.2,26.7
1990-08-21,5.34,0.2,26.7
1990-08-22,5.0,0.2,25.0
1990-08-23,4.84,0.2,24.2
1990-08-24,4.97,0.2,24.849999999999998
1990-08-27,4.94,0.2,24.7
1990-08-28,5.16,0.2,25.8
1990-08-29,5.19,0.2,25.95
1990-08-30,5.0,0.2,25.0
1990-08-31,5.03,0.2,25.15
1990-09-04,5.06,0.2,25.299999999999997
1990-09-05,5.19,0.2,25.95
1990-09-06,5.25,0.2,26.25
1990-09-07,5.28,0.2,26.4
1990-09-10,5.25,0.2,26.25
1990-09-11,5.25,0.2,26.25
1990-09-12,5.38,0.2,26.9
1990-09-13,5.13,0.2,25.65
1990-09-14,5.16,0.2,25.8
1990-09-17,5.16,0.2,25.8
1990-09-18,5.38,0.2,26.9
1990-09-19,5.44,0.2,27.2
1990-09-20,5.59,0.2,27.95
1990-09-21,5.41,0.2,27.05
1990-09-24,5.31,0.2,26.549999999999997
1990-09-25,5.34,0.2,26.7
1990-09-26,5.22,0.2,26.099999999999998
1990-09-27,5.16,0.2,25.8
1990-09-28,5.13,0.2,25.65
1990-10-01,5.34,0.2,26.7
1990-10-02,5.47,0.2,27.349999999999998
1990-10-03,5.53,0.2,27.65
1990-10-04,5.72,0.2,28.599999999999998
1990-10-05,5.69,0.2,28.45
1990-10-08,5.63,0.2,28.15
1990-10-09,5.5,0.2,27.5
1990-10-10,5.41,0.2,27.05
1990-10-11,5.34,0.2,26.7
1990-10-12,5.22,0.2,26.099999999999998
1990-10-15,5.06,0.2,25.299999999999997
1990-10-16,4.91,0.2,24.55
1990-10-17,4.94,0.2,24.7
1990-10-18,5.13,0.2,25.65
1990-10-19,5.34,0.2,26.7
1990-10-22,5.41,0.2,27.05
1990-10-23,5.44,0.2,27.2
1990-10-24,5.41,0.2,27.05
1990-10-25,5.56,0.2,27.799999999999997
1990-10-26,5.47,0.2,27.349999999999998
1990-10-29,5.41,0.2,27.05
1990-10-30,5.53,0.2,27.65
1990-10-31,5.59,0.2,27.95
1990-11-01,5.69,0.2,28.45
1990-11-02,5.97,0.2,29.849999999999998
1990-11-05,6.0,0.2,30.0
1990-11-06,5.97,0.2,29.849999999999998
1990-11-07,5.94,0.2,29.7
1990-11-08,5.91,0.2,29.55
1990-11-09,5.94,0.2,29.7
1990-11-12,6.0,0.2,30.0
1990-11-13,5.91,0.2,29.55
1990-11-14,5.91,0.2,29.55
1990-11-15,5.91,0.2,29.55
1990-11-16,5.97,0.2,29.849999999999998
1990-11-19,6.19,0.2,30.95
1990-11-20,5.94,0.2,29.7
1990-11-21,5.91,0.2,29.55
1990-11-23,5.72,0.2,28.599999999999998
1990-11-26,5.81,0.2,29.049999999999997
1990-11-27,5.97,0.2,29.849999999999998
1990-11-28,6.03,0.2,30.15
1990-11-29,6.06,0.2,30.299999999999997
1990-11-30,6.06,0.2,30.299999999999997
1990-12-03,6.31,0.2,31.549999999999997
1990-12-04,6.19,0.2,30.95
1990-12-05,6.25,0.2,31.25
1990-12-06,6.25,0.2,31.25
1990-12-07,6.16,0.2,30.8
1990-12-10,6.28,0.2,31.4
1990-12-11,6.44,0.2,32.2
