date,UNP,UNP_EPS,PE Ratio
,,0.18,
1980-01-02,3.02,0.18,16.77777777777778
1980-01-03,2.97,0.18,16.5
1980-01-04,3.03,0.18,16.833333333333332
1980-01-07,3.01,0.18,16.72222222222222
1980-01-08,2.9,0.18,16.11111111111111
1980-01-09,2.88,0.18,16.0
1980-01-10,2.86,0.18,15.88888888888889
1980-01-11,2.86,0.18,15.88888888888889
1980-01-14,2.92,0.18,16.22222222222222
1980-01-15,3.02,0.18,16.77777777777778
1980-01-16,3.04,0.18,16.88888888888889
1980-01-17,3.04,0.18,16.88888888888889
1980-01-18,3.08,0.18,17.11111111111111
1980-01-21,3.17,0.18,17.61111111111111
1980-01-22,3.18,0.18,17.666666666666668
1980-01-23,3.18,0.18,17.666666666666668
1980-01-24,3.3,0.18,18.333333333333332
1980-01-25,3.27,0.18,18.166666666666668
1980-01-28,3.29,0.18,18.27777777777778
1980-01-29,3.29,0.18,18.27777777777778
1980-01-30,3.29,0.18,18.27777777777778
1980-01-31,3.26,0.18,18.11111111111111
1980-02-01,3.29,0.18,18.27777777777778
1980-02-04,3.29,0.18,18.27777777777778
1980-02-05,3.46,0.18,19.22222222222222
1980-02-06,3.64,0.18,20.222222222222225
1980-02-07,3.87,0.18,21.5
1980-02-08,4.03,0.18,22.388888888888893
1980-02-11,3.97,0.18,22.055555555555557
1980-02-12,3.94,0.18,21.88888888888889
1980-02-13,3.95,0.18,21.944444444444446
1980-02-14,3.8,0.18,21.11111111111111
1980-02-15,3.86,0.18,21.444444444444443
1980-02-19,3.92,0.18,21.77777777777778
1980-02-20,3.98,0.18,22.11111111111111
1980-02-21,4.04,0.18,22.444444444444446
1980-02-22,4.15,0.18,23.055555555555557
1980-02-25,4.03,0.18,22.388888888888893
1980-02-26,4.08,0.18,22.666666666666668
1980-02-27,3.97,0.18,22.055555555555557
1980-02-28,3.92,0.18,21.77777777777778
1980-02-29,3.96,0.18,22.0
1980-03-03,3.93,0.18,21.833333333333336
1980-03-04,3.96,0.18,22.0
1980-03-05,3.95,0.18,21.944444444444446
1980-03-06,3.82,0.18,21.22222222222222
1980-03-07,3.71,0.18,20.61111111111111
1980-03-10,3.68,0.18,20.444444444444446
1980-03-11,3.58,0.18,19.88888888888889
1980-03-12,3.6,0.18,20.0
1980-03-13,3.6,0.18,20.0
1980-03-14,3.55,0.18,19.72222222222222
1980-03-17,3.39,0.18,18.833333333333336
1980-03-18,3.43,0.18,19.055555555555557
1980-03-19,3.55,0.18,19.72222222222222
1980-03-20,3.48,0.18,19.333333333333336
1980-03-21,3.43,0.18,19.055555555555557
1980-03-24,3.35,0.18,18.61111111111111
1980-03-25,3.39,0.18,18.833333333333336
1980-03-26,3.38,0.18,18.77777777777778
1980-03-27,3.35,0.18,18.61111111111111
1980-03-28,3.45,0.18,19.166666666666668
1980-03-31,3.52,0.18,19.555555555555557
1980-04-01,3.47,0.18,19.27777777777778
1980-04-02,3.48,0.18,19.333333333333336
1980-04-03,3.43,0.18,19.055555555555557
1980-04-07,3.35,0.18,18.61111111111111
1980-04-08,3.36,0.18,18.666666666666668
1980-04-09,3.4,0.18,18.88888888888889
1980-04-10,3.37,0.18,18.722222222222225
1980-04-11,3.35,0.18,18.61111111111111
1980-04-14,3.3,0.18,18.333333333333332
1980-04-15,3.31,0.18,18.38888888888889
1980-04-16,3.26,0.18,18.11111111111111
1980-04-17,3.08,0.18,17.11111111111111
1980-04-18,3.07,0.18,17.055555555555554
1980-04-21,2.99,0.18,16.611111111111114
1980-04-22,3.2,0.18,17.77777777777778
1980-04-23,3.23,0.18,17.944444444444446
1980-04-24,3.14,0.18,17.444444444444446
1980-04-25,3.23,0.18,17.944444444444446
1980-04-28,3.14,0.18,17.444444444444446
1980-04-29,3.14,0.18,17.444444444444446
1980-04-30,3.14,0.18,17.444444444444446
1980-05-01,3.11,0.18,17.27777777777778
1980-05-02,3.18,0.18,17.666666666666668
1980-05-05,3.17,0.18,17.61111111111111
1980-05-06,3.2,0.18,17.77777777777778
1980-05-07,3.27,0.18,18.166666666666668
1980-05-08,3.28,0.18,18.22222222222222
1980-05-09,3.25,0.18,18.055555555555557
1980-05-12,3.27,0.18,18.166666666666668
1980-05-13,3.28,0.18,18.22222222222222
1980-05-14,3.24,0.18,18.000000000000004
1980-05-15,3.19,0.18,17.72222222222222
1980-05-16,3.19,0.18,17.72222222222222
1980-05-19,3.2,0.18,17.77777777777778
1980-05-20,3.21,0.18,17.833333333333332
1980-05-21,3.24,0.18,18.000000000000004
1980-05-22,3.31,0.18,18.38888888888889
1980-05-23,3.53,0.18,19.61111111111111
1980-05-27,3.67,0.18,20.38888888888889
1980-05-28,3.69,0.18,20.5
1980-05-29,3.52,0.18,19.555555555555557
1980-05-30,3.59,0.18,19.944444444444443
1980-06-02,3.57,0.18,19.833333333333332
1980-06-03,3.51,0.18,19.5
1980-06-04,3.66,0.18,20.333333333333336
1980-06-05,3.7,0.18,20.555555555555557
1980-06-06,3.66,0.18,20.333333333333336
1980-06-09,3.65,0.18,20.27777777777778
1980-06-10,3.69,0.18,20.5
1980-06-11,3.74,0.18,20.77777777777778
1980-06-12,3.76,0.18,20.88888888888889
1980-06-13,3.69,0.18,20.5
1980-06-16,3.7,0.18,20.555555555555557
1980-06-17,3.61,0.18,20.055555555555557
1980-06-18,3.66,0.18,20.333333333333336
1980-06-19,3.57,0.18,19.833333333333332
1980-06-20,3.41,0.18,18.944444444444446
1980-06-23,3.34,0.18,18.555555555555557
1980-06-24,3.45,0.18,19.166666666666668
1980-06-25,3.47,0.18,19.27777777777778
1980-06-26,3.64,0.18,20.222222222222225
1980-06-27,3.61,0.18,20.055555555555557
1980-06-30,3.59,0.18,19.944444444444443
1980-07-01,3.55,0.18,19.72222222222222
1980-07-02,3.55,0.18,19.72222222222222
1980-07-03,3.7,0.18,20.555555555555557
1980-07-07,3.79,0.18,21.055555555555557
1980-07-08,3.74,0.18,20.77777777777778
1980-07-09,3.75,0.18,20.833333333333336
1980-07-10,3.71,0.18,20.61111111111111
1980-07-11,3.77,0.18,20.944444444444446
1980-07-14,3.99,0.18,22.166666666666668
1980-07-15,3.95,0.18,21.944444444444446
1980-07-16,4.0,0.18,22.22222222222222
1980-07-17,4.17,0.18,23.166666666666668
1980-07-18,4.21,0.18,23.38888888888889
1980-07-21,4.28,0.18,23.77777777777778
1980-07-22,4.22,0.18,23.444444444444443
1980-07-23,4.08,0.18,22.666666666666668
1980-07-24,4.02,0.18,22.333333333333332
1980-07-25,3.97,0.18,22.055555555555557
1980-07-28,3.99,0.18,22.166666666666668
1980-07-29,4.0,0.18,22.22222222222222
1980-07-30,4.07,0.18,22.611111111111114
1980-07-31,3.95,0.18,21.944444444444446
1980-08-01,3.91,0.18,21.722222222222225
1980-08-04,3.91,0.18,21.722222222222225
1980-08-05,3.87,0.18,21.5
1980-08-06,3.89,0.18,21.611111111111114
1980-08-07,3.94,0.18,21.88888888888889
1980-08-08,3.99,0.18,22.166666666666668
1980-08-11,4.02,0.18,22.333333333333332
1980-08-12,4.1,0.18,22.777777777777775
1980-08-13,4.06,0.18,22.555555555555554
1980-08-14,4.08,0.18,22.666666666666668
1980-08-15,4.14,0.18,23.0
1980-08-18,4.07,0.18,22.611111111111114
1980-08-19,4.03,0.18,22.388888888888893
1980-08-20,4.06,0.18,22.555555555555554
1980-08-21,4.12,0.18,22.88888888888889
1980-08-22,4.14,0.18,23.0
1980-08-25,4.1,0.18,22.777777777777775
1980-08-26,4.14,0.18,23.0
1980-08-27,4.02,0.18,22.333333333333332
1980-08-28,3.95,0.18,21.944444444444446
1980-08-29,4.03,0.18,22.388888888888893
1980-09-02,4.14,0.18,23.0
1980-09-03,4.16,0.18,23.111111111111114
1980-09-04,4.09,0.18,22.72222222222222
1980-09-05,4.11,0.18,22.833333333333336
1980-09-08,4.01,0.18,22.27777777777778
1980-09-09,4.06,0.18,22.555555555555554
1980-09-10,4.08,0.18,22.666666666666668
1980-09-11,4.01,0.18,22.27777777777778
1980-09-12,4.01,0.18,22.27777777777778
1980-09-15,4.13,0.18,22.944444444444446
1980-09-16,4.39,0.18,24.38888888888889
1980-09-17,4.69,0.18,26.055555555555557
1980-09-18,4.68,0.18,26.0
1980-09-19,4.65,0.18,25.833333333333336
1980-09-22,4.75,0.18,26.38888888888889
1980-09-23,4.95,0.18,27.500000000000004
1980-09-24,5.09,0.18,28.27777777777778
1980-09-25,4.94,0.18,27.444444444444446
1980-09-26,4.79,0.18,26.61111111111111
1980-09-29,4.66,0.18,25.88888888888889
1980-09-30,4.69,0.18,26.055555555555557
1980-10-01,4.87,0.18,27.055555555555557
1980-10-02,4.96,0.18,27.555555555555557
1980-10-03,5.02,0.18,27.88888888888889
1980-10-06,5.09,0.18,28.27777777777778
1980-10-07,5.16,0.18,28.666666666666668
1980-10-08,5.09,0.18,28.27777777777778
1980-10-09,5.16,0.18,28.666666666666668
1980-10-10,5.06,0.18,28.11111111111111
1980-10-13,5.14,0.18,28.555555555555554
1980-10-14,5.02,0.18,27.88888888888889
1980-10-15,5.13,0.18,28.5
1980-10-16,5.27,0.18,29.277777777777775
1980-10-17,5.34,0.18,29.666666666666668
1980-10-20,5.57,0.18,30.944444444444446
1980-10-21,5.76,0.18,32.0
1980-10-22,5.97,0.18,33.166666666666664
1980-10-23,5.85,0.18,32.5
1980-10-24,5.83,0.18,32.38888888888889
1980-10-27,5.72,0.18,31.77777777777778
1980-10-28,5.73,0.18,31.833333333333336
1980-10-29,5.72,0.18,31.77777777777778
1980-10-30,5.72,0.18,31.77777777777778
1980-10-31,5.7,0.18,31.666666666666668
1980-11-03,5.78,0.18,32.111111111111114
1980-11-05,6.02,0.18,33.44444444444444
1980-11-06,5.94,0.18,33.0
1980-11-07,5.99,0.18,33.27777777777778
1980-11-10,5.95,0.18,33.05555555555556
1980-11-11,6.21,0.18,34.5
1980-11-12,6.52,0.18,36.22222222222222
1980-11-13,6.48,0.18,36.00000000000001
1980-11-14,6.59,0.18,36.611111111111114
1980-11-17,7.02,0.18,39.0
1980-11-18,7.38,0.18,41.0
1980-11-19,7.1,0.18,39.44444444444444
1980-11-20,7.24,0.18,40.22222222222222
1980-11-21,7.44,0.18,41.333333333333336
1980-11-24,7.41,0.18,41.16666666666667
1980-11-25,7.31,0.18,40.61111111111111
1980-11-26,7.69,0.18,42.72222222222223
1980-11-28,7.67,0.18,42.611111111111114
1980-12-01,7.29,0.18,40.5
1980-12-02,7.12,0.18,39.55555555555556
1980-12-03,7.06,0.18,39.22222222222222
1980-12-04,7.01,0.18,38.94444444444444
1980-12-05,6.7,0.18,37.22222222222222
1980-12-08,6.41,0.18,35.611111111111114
1980-12-09,6.45,0.18,35.833333333333336
1980-12-10,6.43,0.18,35.72222222222222
1980-12-11,6.39,0.18,35.5
1980-12-12,6.62,0.18,36.77777777777778
1980-12-15,6.64,0.18,36.888888888888886
1980-12-16,6.72,0.18,37.333333333333336
1980-12-17,6.91,0.18,38.38888888888889
1980-12-18,6.96,0.18,38.66666666666667
1980-12-19,6.77,0.18,37.61111111111111
1980-12-22,6.72,0.18,37.333333333333336
1980-12-23,6.43,0.18,35.72222222222222
1980-12-24,6.62,0.18,36.77777777777778
1980-12-26,6.7,0.18,37.22222222222222
1980-12-29,6.51,0.18,36.166666666666664
1980-12-30,6.64,0.18,36.888888888888886
1980-12-31,6.62,0.18,36.77777777777778
1981-01-02,6.56,0.18,36.44444444444444
1981-01-05,6.51,0.18,36.166666666666664
1981-01-06,6.3,0.18,35.0
1981-01-07,6.19,0.18,34.38888888888889
1981-01-08,5.99,0.18,33.27777777777778
1981-01-09,5.95,0.18,33.05555555555556
1981-01-12,5.97,0.18,33.166666666666664
1981-01-13,6.05,0.18,33.611111111111114
