date,VIAC,VIAC_EPS,PE Ratio
,,-0.33,
1994-05-20,,-3.62,
1994-08-15,,1.43,
1994-11-21,,1.29,
1995-05-15,,0.05,
1995-08-14,,0.06,
1995-11-14,,0.17,
1996-05-15,,0.01,
1996-08-14,,0.03,
1996-11-14,,0.25,
1997-05-15,,-0.11,
1997-08-14,,-0.49,
1997-11-14,,0.03,
1998-11-16,,0.2,
2000-05-12,,0.19,
2000-08-14,,-0.07,
2000-11-14,,0.04,
2001-05-14,,-0.01,
2001-08-14,,0.02,
2001-11-14,,-0.22,
2002-05-14,,0.41,
2002-08-14,,0.61,
2002-11-14,,0.72,
2003-03-27,,0.74,
2003-05-15,,0.52,
2003-08-14,,0.61,
2003-11-07,,0.73,
2004-03-15,,0.67,
2004-05-07,,0.72,
2004-08-09,,0.83,
2004-11-09,,-0.25,
2005-03-16,,-20.9,
2005-05-10,,0.29,
2005-08-05,,0.46,
2005-11-07,,0.33,
2005-12-05,26.7,0.33,80.9090909090909
2005-12-06,25.76,0.33,78.06060606060606
2005-12-07,25.55,0.33,77.42424242424242
2005-12-08,25.39,0.33,76.93939393939394
2005-12-09,25.63,0.33,77.66666666666666
2005-12-12,26.24,0.33,79.5151515151515
2005-12-13,26.0,0.33,78.78787878787878
2005-12-14,25.7,0.33,77.87878787878788
2005-12-15,25.32,0.33,76.72727272727272
2005-12-16,25.3,0.33,76.66666666666667
2005-12-19,25.29,0.33,76.63636363636363
2005-12-20,25.07,0.33,75.96969696969697
2005-12-21,25.25,0.33,76.51515151515152
2005-12-22,25.11,0.33,76.09090909090908
2005-12-23,25.5,0.33,77.27272727272727
2005-12-27,25.65,0.33,77.72727272727272
2005-12-28,25.05,0.33,75.9090909090909
2005-12-29,25.0,0.33,75.75757575757575
2005-12-30,25.5,0.33,77.27272727272727
2006-01-03,26.2,0.33,79.39393939393939
2006-01-04,26.0,0.33,78.78787878787878
2006-01-05,26.36,0.33,79.87878787878788
2006-01-06,27.23,0.33,82.51515151515152
2006-01-09,27.03,0.33,81.9090909090909
2006-01-10,26.56,0.33,80.48484848484847
2006-01-11,26.18,0.33,79.33333333333333
2006-01-12,25.99,0.33,78.75757575757575
2006-01-13,25.48,0.33,77.2121212121212
