date,WAT,WAT_EPS,PE Ratio
1995-11-17,3.78,,
1995-11-20,3.75,,
1995-11-21,3.75,,
1995-11-22,3.75,,
1995-11-24,3.75,,
1995-11-27,3.75,,
1995-11-28,3.53,,
1995-11-29,3.44,,
1995-11-30,3.69,,
1995-12-01,3.56,,
1995-12-04,3.72,,
1995-12-05,3.75,,
1995-12-06,3.81,,
1995-12-07,3.72,,
1995-12-08,3.75,,
1995-12-11,3.75,,
1995-12-12,3.78,,
1995-12-13,4.03,,
1995-12-14,4.19,,
1995-12-15,4.25,,
1995-12-18,4.16,,
1995-12-19,4.13,,
1995-12-20,4.16,,
1995-12-21,4.38,,
1995-12-22,4.41,,
1995-12-26,4.41,,
1995-12-27,4.5,,
1995-12-28,4.47,,
1995-12-29,4.56,,
1996-01-02,4.34,,
1996-01-03,4.41,,
1996-01-04,4.56,,
1996-01-05,4.69,,
1996-01-08,4.78,,
1996-01-09,4.72,,
1996-01-10,4.59,,
1996-01-11,4.56,,
1996-01-12,4.38,,
1996-01-15,4.5,,
1996-01-16,4.44,,
1996-01-17,4.38,,
1996-01-18,4.44,,
1996-01-19,4.69,,
1996-01-22,4.75,,
1996-01-23,4.78,,
1996-01-24,5.03,,
1996-01-25,5.06,,
1996-01-26,4.94,,
1996-01-29,5.16,,
1996-01-30,5.13,,
1996-01-31,4.97,,
1996-02-01,4.97,,
1996-02-02,4.81,,
1996-02-05,4.88,,
1996-02-06,4.72,,
1996-02-07,4.69,,
1996-02-08,4.63,,
1996-02-09,4.75,,
1996-02-12,4.88,,
1996-02-13,4.91,,
1996-02-14,4.91,,
1996-02-15,4.75,,
1996-02-16,4.81,,
1996-02-20,4.91,,
1996-02-21,5.09,,
1996-02-22,5.22,,
1996-02-23,5.16,,
1996-02-26,5.31,,
1996-02-27,5.19,,
1996-02-28,5.16,,
1996-02-29,5.06,,
1996-03-01,5.16,,
1996-03-04,5.0,,
1996-03-05,5.06,,
1996-03-06,5.13,,
1996-03-07,5.25,,
1996-03-08,5.19,,
1996-03-11,5.56,,
1996-03-12,6.0,,
1996-03-13,6.0,,
1996-03-14,6.0,,
1996-03-15,5.94,,
1996-03-18,5.78,,
1996-03-19,5.63,,
1996-03-20,5.88,,
1996-03-21,5.94,,
1996-03-22,5.69,,
1996-03-25,5.84,,
1996-03-26,5.88,,
1996-03-27,5.78,,
1996-03-28,5.72,,
1996-03-29,6.06,,
1996-04-01,6.63,,
1996-04-02,6.81,,
1996-04-03,6.72,,
1996-04-04,7.0,,
1996-04-08,7.0,,
1996-04-09,7.09,,
1996-04-10,7.22,,
1996-04-11,7.06,,
1996-04-12,7.34,,
1996-04-15,7.28,,
1996-04-16,7.41,,
1996-04-17,7.38,,
1996-04-18,7.47,,
1996-04-19,7.16,,
1996-04-22,6.97,,
1996-04-23,6.88,,
1996-04-24,6.91,,
1996-04-25,6.94,,
1996-04-26,6.88,,
1996-04-29,7.0,,
1996-04-30,6.97,,
1996-05-01,6.88,,
1996-05-02,6.75,,
1996-05-03,6.88,,
1996-05-06,7.06,,
1996-05-07,7.25,,
1996-05-08,7.06,,
1996-05-09,6.97,,
1996-05-10,7.0,,
1996-05-13,6.94,,
1996-05-14,6.84,,
1996-05-15,7.13,,
1996-05-16,7.09,,
1996-05-17,6.97,,
1996-05-20,6.88,,
1996-05-21,6.81,,
1996-05-22,7.16,,
1996-05-23,7.44,,
1996-05-24,7.44,,
1996-05-28,7.34,,
1996-05-29,7.22,,
1996-05-30,7.44,,
1996-05-31,7.53,,
1996-06-03,7.22,,
1996-06-04,6.97,,
1996-06-05,6.81,,
1996-06-06,6.69,,
1996-06-07,6.63,,
1996-06-10,6.84,,
1996-06-11,6.97,,
1996-06-12,7.09,,
1996-06-13,6.94,,
1996-06-14,7.03,,
1996-06-17,7.03,,
1996-06-18,6.78,,
1996-06-19,7.13,,
1996-06-20,7.19,,
1996-06-21,7.13,,
1996-06-24,7.22,,
1996-06-25,7.28,,
1996-06-26,7.28,,
1996-06-27,7.53,,
1996-06-28,8.25,,
1996-07-01,8.09,,
1996-07-02,7.75,,
1996-07-03,7.81,,
1996-07-05,7.53,,
1996-07-08,7.25,,
1996-07-09,7.69,,
1996-07-10,7.81,,
1996-07-11,7.78,,
1996-07-12,7.69,,
1996-07-15,7.5,,
1996-07-16,7.06,,
1996-07-17,7.03,,
1996-07-18,7.31,,
1996-07-19,7.16,,
1996-07-22,6.84,,
1996-07-23,6.56,,
1996-07-24,6.72,,
1996-07-25,7.19,,
1996-07-26,7.0,,
1996-07-29,7.0,,
1996-07-30,7.03,,
1996-07-31,7.0,,
1996-08-01,7.25,,
1996-08-02,7.38,,
1996-08-05,7.38,,
1996-08-06,7.75,,
1996-08-07,7.75,,
1996-08-08,7.75,,
1996-08-09,7.69,,
1996-08-12,7.88,,
1996-08-13,7.75,,
1996-08-14,7.88,,
1996-08-15,7.81,,
1996-08-16,7.63,,
1996-08-19,7.5,,
1996-08-20,7.25,,
1996-08-21,7.06,,
1996-08-22,7.38,,
1996-08-23,7.69,,
1996-08-26,7.69,,
1996-08-27,7.97,,
1996-08-28,7.81,,
1996-08-29,7.81,,
1996-08-30,7.84,,
1996-09-03,7.69,,
1996-09-04,7.44,,
1996-09-05,7.22,,
1996-09-06,7.41,,
1996-09-09,7.41,,
1996-09-10,7.56,,
1996-09-11,7.56,,
1996-09-12,7.75,,
1996-09-13,7.63,,
1996-09-16,7.5,,
1996-09-17,7.59,,
1996-09-18,7.53,,
1996-09-19,7.44,,
1996-09-20,7.38,,
1996-09-23,7.34,,
1996-09-24,7.41,,
1996-09-25,7.59,,
1996-09-26,7.5,,
1996-09-27,7.88,,
1996-09-30,8.19,,
1996-10-01,7.88,,
1996-10-02,8.22,,
1996-10-03,8.31,,
1996-10-04,8.16,,
1996-10-07,8.28,,
1996-10-08,8.13,,
1996-10-09,8.25,,
1996-10-10,8.22,,
1996-10-11,8.22,,
1996-10-14,8.03,,
1996-10-15,8.25,,
1996-10-16,8.06,,
1996-10-17,8.22,,
1996-10-18,8.13,,
1996-10-21,8.19,,
1996-10-22,8.06,,
1996-10-23,7.97,,
1996-10-24,8.03,,
1996-10-25,7.88,,
1996-10-28,7.5,,
1996-10-29,7.69,,
1996-10-30,7.75,,
1996-10-31,7.75,,
1996-11-01,7.69,,
1996-11-04,7.66,,
1996-11-05,7.59,,
1996-11-06,7.5,,
1996-11-07,7.31,,
1996-11-08,7.44,,
1996-11-11,7.31,,
1996-11-12,7.22,,
1996-11-13,7.38,,
1996-11-14,7.5,,
1996-11-15,7.41,,
1996-11-18,7.5,,
1996-11-19,7.41,,
1996-11-20,7.38,,
1996-11-21,7.25,,
1996-11-22,7.25,,
1996-11-25,7.0,,
1996-11-26,6.75,,
1996-11-27,6.75,,
1996-11-29,6.78,,
1996-12-02,6.81,,
1996-12-03,6.84,,
1996-12-04,7.25,,
1996-12-05,7.19,,
1996-12-06,7.19,,
1996-12-09,7.25,,
1996-12-10,7.5,,
1996-12-11,7.5,,
1996-12-12,7.56,,
1996-12-13,7.53,,
1996-12-16,7.44,,
1996-12-17,7.47,,
1996-12-18,7.47,,
1996-12-19,7.69,,
1996-12-20,7.63,,
1996-12-23,7.59,,
1996-12-24,7.63,,
1996-12-26,7.66,,
1996-12-27,7.63,,
1996-12-30,7.59,,
1996-12-31,7.59,,
1997-01-02,7.53,,
1997-01-03,7.53,,
1997-01-06,7.56,,
1997-01-07,7.44,,
1997-01-08,7.44,,
1997-01-09,7.44,,
1997-01-10,7.38,,
1997-01-13,7.34,,
1997-01-14,7.19,,
1997-01-15,7.16,,
1997-01-16,7.03,,
1997-01-17,7.06,,
1997-01-20,7.16,,
1997-01-21,7.66,,
1997-01-22,7.59,,
1997-01-23,7.72,,
1997-01-24,7.47,,
1997-01-27,7.56,,
1997-01-28,7.69,,
1997-01-29,7.5,,
1997-01-30,7.47,,
1997-01-31,7.41,,
1997-02-03,7.47,,
1997-02-04,7.59,,
1997-02-05,7.41,,
1997-02-06,7.34,,
1997-02-07,7.47,,
1997-02-10,7.34,,
1997-02-11,7.16,,
1997-02-12,7.0,,
1997-02-13,7.0,,
1997-02-14,6.94,,
1997-02-18,6.81,,
1997-02-19,6.75,,
1997-02-20,6.75,,
1997-02-21,7.0,,
1997-02-24,7.16,,
1997-02-25,7.16,,
1997-02-26,7.34,,
1997-02-27,7.34,,
1997-02-28,7.53,,
1997-03-03,7.59,,
1997-03-04,7.44,,
1997-03-05,7.41,,
1997-03-06,7.31,,
1997-03-07,7.34,,
1997-03-10,7.31,,
