date,WST,WST_EPS,PE Ratio
2000-05-24,5.81,,
2000-05-25,5.88,,
2000-05-26,5.88,,
2000-05-30,5.84,,
2000-05-31,5.88,,
2000-06-01,5.91,,
2000-06-02,6.0,,
2000-06-05,5.94,,
2000-06-06,5.94,,
2000-06-07,5.94,,
2000-06-08,5.92,,
2000-06-09,5.95,,
2000-06-12,5.92,,
2000-06-13,5.89,,
2000-06-14,5.84,,
2000-06-15,5.88,,
2000-06-16,5.86,,
2000-06-19,5.84,,
2000-06-20,5.81,,
2000-06-21,5.81,,
2000-06-22,5.13,,
2000-06-23,5.02,,
2000-06-26,5.23,,
2000-06-27,5.2,,
2000-06-28,5.22,,
2000-06-29,5.17,,
2000-06-30,5.41,,
2000-07-03,5.38,,
2000-07-05,5.22,,
2000-07-06,5.16,,
2000-07-07,5.19,,
2000-07-10,5.22,,
2000-07-11,5.25,,
2000-07-12,5.28,,
2000-07-13,5.19,,
2000-07-14,5.27,,
2000-07-17,5.28,,
2000-07-18,5.23,,
2000-07-19,5.11,,
2000-07-20,4.97,,
2000-07-21,5.09,,
2000-07-24,5.06,,
2000-07-25,5.19,,
2000-07-26,5.11,,
2000-07-27,5.08,,
2000-07-28,5.06,,
2000-07-31,5.16,,
2000-08-01,5.13,,
2000-08-02,5.25,,
2000-08-03,5.23,,
2000-08-04,5.22,,
2000-08-07,5.2,,
2000-08-08,5.2,,
2000-08-09,5.34,,
2000-08-10,5.19,,
2000-08-11,5.16,,
2000-08-14,5.11,,
2000-08-15,5.13,,
2000-08-16,5.11,,
2000-08-17,5.16,,
2000-08-18,5.11,,
2000-08-21,5.13,,
2000-08-22,5.05,,
2000-08-23,5.08,,
2000-08-24,5.05,,
2000-08-25,5.06,,
2000-08-28,5.06,,
2000-08-29,5.06,,
2000-08-30,5.19,,
2000-08-31,5.2,,
2000-09-01,5.14,,
2000-09-05,5.3,,
2000-09-06,5.5,,
2000-09-07,5.64,,
2000-09-08,5.66,,
2000-09-11,5.66,,
2000-09-12,5.63,,
2000-09-13,5.67,,
2000-09-14,5.66,,
2000-09-15,5.61,,
2000-09-18,5.41,,
2000-09-19,5.48,,
2000-09-20,5.47,,
2000-09-21,5.31,,
2000-09-22,5.27,,
2000-09-25,5.41,,
2000-09-26,5.56,,
2000-09-27,5.72,,
2000-09-28,5.94,,
2000-09-29,5.81,,
2000-10-02,5.83,,
2000-10-03,5.86,,
2000-10-04,5.92,,
2000-10-05,5.84,,
2000-10-06,5.83,,
2000-10-09,5.89,,
2000-10-10,5.83,,
2000-10-11,5.83,,
2000-10-12,5.69,,
2000-10-13,5.83,,
2000-10-16,5.73,,
2000-10-17,5.53,,
2000-10-18,5.55,,
2000-10-19,5.53,,
2000-10-20,5.48,,
2000-10-23,5.41,,
2000-10-24,5.47,,
2000-10-25,5.38,,
2000-10-26,5.48,,
2000-10-27,5.48,,
2000-10-30,5.44,,
2000-10-31,5.5,,
2000-11-01,5.47,,
2000-11-02,5.48,,
2000-11-03,5.44,,
2000-11-06,5.38,,
2000-11-07,5.41,,
2000-11-08,5.27,,
2000-11-09,5.19,,
2000-11-10,5.25,,
2000-11-13,5.44,,
2000-11-14,5.66,,
2000-11-15,5.78,,
2000-11-16,5.81,,
2000-11-17,5.75,,
2000-11-20,5.78,,
2000-11-21,5.78,,
2000-11-22,5.8,,
2000-11-24,5.77,,
2000-11-27,5.77,,
2000-11-28,5.77,,
