date,XRX,XRX_EPS,PE Ratio
,,1.49,
1989-09-19,28.6,1.49,19.194630872483224
1989-09-20,28.55,1.49,19.161073825503355
1989-09-21,28.77,1.49,19.308724832214764
1989-09-22,29.15,1.49,19.563758389261743
1989-09-25,28.88,1.49,19.382550335570468
1989-09-26,28.77,1.49,19.308724832214764
1989-09-27,28.55,1.49,19.161073825503355
1989-09-28,28.6,1.49,19.194630872483224
1989-09-29,28.71,1.49,19.268456375838927
1989-10-02,28.88,1.49,19.382550335570468
1989-10-03,28.99,1.49,19.456375838926174
1989-10-04,28.93,1.49,19.416107382550337
1989-10-05,28.88,1.49,19.382550335570468
1989-10-06,29.04,1.49,19.48993288590604
1989-10-09,29.21,1.49,19.604026845637584
1989-10-10,29.21,1.49,19.604026845637584
1989-10-11,28.99,1.49,19.456375838926174
1989-10-12,28.88,1.49,19.382550335570468
1989-10-13,27.45,1.49,18.42281879194631
1989-10-16,27.72,1.49,18.604026845637584
1989-10-17,27.28,1.49,18.308724832214764
1989-10-18,27.45,1.49,18.42281879194631
1989-10-19,27.45,1.49,18.42281879194631
1989-10-20,27.45,1.49,18.42281879194631
1989-10-23,27.12,1.49,18.201342281879196
1989-10-24,27.56,1.49,18.496644295302012
1989-10-25,26.19,1.49,17.57718120805369
1989-10-26,25.69,1.49,17.241610738255034
1989-10-27,25.09,1.49,16.838926174496645
1989-10-30,25.36,1.49,17.02013422818792
1989-10-31,25.86,1.49,17.355704697986578
1989-11-01,25.69,1.49,17.241610738255034
1989-11-02,25.42,1.49,17.06040268456376
1989-11-03,25.42,1.49,17.06040268456376
1989-11-06,25.2,1.49,16.91275167785235
1989-11-07,24.87,1.49,16.691275167785236
1989-11-08,24.92,1.49,16.7248322147651
1989-11-09,24.98,1.49,16.76510067114094
1989-11-10,24.7,1.49,16.57718120805369
1989-11-13,24.59,1.49,16.503355704697988
1989-11-14,25.03,1.49,16.798657718120808
1989-11-15,25.31,1.49,16.98657718120805
1989-11-16,25.25,1.49,16.946308724832214
1989-11-17,25.47,1.49,17.093959731543624
1989-11-20,25.2,1.49,16.91275167785235
1989-11-21,25.14,1.49,16.87248322147651
1989-11-22,25.03,1.49,16.798657718120808
1989-11-24,25.31,1.49,16.98657718120805
1989-11-27,25.14,1.49,16.87248322147651
1989-11-28,25.31,1.49,16.98657718120805
1989-11-29,25.14,1.49,16.87248322147651
1989-11-30,25.2,1.49,16.91275167785235
1989-12-01,25.53,1.49,17.134228187919465
1989-12-04,25.8,1.49,17.31543624161074
1989-12-05,26.35,1.49,17.684563758389263
1989-12-06,26.19,1.49,17.57718120805369
1989-12-07,26.3,1.49,17.651006711409398
1989-12-08,26.24,1.49,17.610738255033556
1989-12-11,26.19,1.49,17.57718120805369
1989-12-12,25.8,1.49,17.31543624161074
1989-12-13,25.31,1.49,16.98657718120805
1989-12-14,25.09,1.49,16.838926174496645
1989-12-15,24.98,1.49,16.76510067114094
1989-12-18,24.65,1.49,16.543624161073826
1989-12-19,24.21,1.49,16.248322147651006
1989-12-20,24.65,1.49,16.543624161073826
1989-12-21,24.7,1.49,16.57718120805369
1989-12-22,24.92,1.49,16.7248322147651
1989-12-26,24.98,1.49,16.76510067114094
1989-12-27,25.03,1.49,16.798657718120808
1989-12-28,25.14,1.49,16.87248322147651
1989-12-29,25.14,1.49,16.87248322147651
1990-01-02,25.36,1.49,17.02013422818792
1990-01-03,25.58,1.49,17.167785234899327
1990-01-04,25.64,1.49,17.20805369127517
1990-01-05,25.69,1.49,17.241610738255034
1990-01-08,25.53,1.49,17.134228187919465
1990-01-09,25.14,1.49,16.87248322147651
1990-01-10,24.92,1.49,16.7248322147651
1990-01-11,24.98,1.49,16.76510067114094
1990-01-12,24.59,1.49,16.503355704697988
1990-01-15,24.43,1.49,16.395973154362416
1990-01-16,24.54,1.49,16.46979865771812
1990-01-17,24.48,1.49,16.42953020134228
1990-01-18,24.54,1.49,16.46979865771812
1990-01-19,24.7,1.49,16.57718120805369
1990-01-22,24.37,1.49,16.355704697986578
1990-01-23,24.04,1.49,16.13422818791946
1990-01-24,23.88,1.49,16.026845637583893
1990-01-25,23.66,1.49,15.879194630872483
1990-01-26,23.5,1.49,15.771812080536913
1990-01-29,23.39,1.49,15.697986577181208
1990-01-30,23.33,1.49,15.657718120805368
1990-01-31,24.37,1.49,16.355704697986578
1990-02-01,24.15,1.49,16.20805369127517
1990-02-02,24.32,1.49,16.322147651006713
1990-02-05,24.32,1.49,16.322147651006713
